,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Ollie Watkins,11.0,eng ENG,FW,27-092,90,31,3,5,12,14,3,31,4,2,50.0,2,50.0,13,43,12,1,0,1,5,0,22,3
1,Emi Buendía,10.0,ar ARG,FW,26-097,75,23,2,7,13,3,1,23,3,1,33.3,2,66.7,14,85,43,2,0,0,0,2,15,3
2,Leon Bailey,31.0,jm JAM,FW,25-235,15,4,0,0,1,3,1,4,1,1,100.0,0,0.0,3,27,21,1,0,0,0,0,3,2
3,Jacob Ramsey,41.0,eng ENG,LM,21-308,90,43,6,16,17,14,3,43,6,2,33.3,4,66.7,22,201,107,5,6,2,2,1,20,2
4,Douglas Luiz,6.0,br BRA,CM,24-327,86,36,5,19,13,5,0,36,2,1,50.0,1,50.0,12,31,15,0,0,0,0,0,20,0
5,Leander Dendoncker,32.0,be BEL,CM,27-351,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
6,Boubacar Kamara,44.0,fr FRA,CM,23-129,45,17,4,10,7,0,0,17,0,0,,0,,5,30,22,0,0,0,1,0,8,0
7,Calum Chambers,16.0,eng ENG,RB,28-071,45,23,3,12,9,2,1,23,0,0,,0,,5,14,2,0,0,0,0,0,8,0
8,John McGinn,7.0,sct SCO,"CM,RM",28-165,90,30,0,6,19,5,1,30,5,4,80.0,0,0.0,15,128,57,1,1,0,2,3,20,1
9,Álex Moreno,15.0,es ESP,LB,29-297,88,51,9,32,14,5,0,51,2,0,0.0,2,100.0,24,153,82,1,0,0,1,0,27,1
10,Lucas Digne,27.0,fr FRA,LB,29-255,2,5,0,1,2,3,0,5,0,0,,0,,1,17,15,1,1,0,0,0,0,0
11,Tyrone Mings,5.0,eng ENG,CB,30-019,90,43,16,38,5,0,0,43,0,0,,0,,20,79,42,0,0,0,0,0,24,0
12,Ezri Konsa,4.0,eng ENG,CB,25-160,90,34,20,31,3,0,0,34,0,0,,0,,16,62,48,0,0,0,0,0,16,0
13,Ashley Young,18.0,eng ENG,"RM,RB",37-266,90,36,7,22,9,5,0,36,1,0,0.0,1,100.0,13,109,47,0,0,0,0,0,19,0
14,Emiliano Martínez,1.0,ar ARG,GK,30-211,90,48,44,48,0,0,0,48,0,0,,0,,19,106,73,0,0,0,0,0,17,0
15,15 Players,,,,,990,424,119,247,124,59,10,424,24,11,45.8,12,50.0,182,1085,586,12,8,3,11,6,219,12
