,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Ivan Toney,17.0,eng ENG,FW,26-339,90,0,0,0,2,1,2,2,0,0,0,0,0,3,4,3,57.1
1,Yoane Wissa,11.0,cd COD,LW,26-168,62,0,0,0,2,1,1,1,1,0,0,0,0,3,0,1,0.0
2,Kevin Schade,9.0,de GER,"FW,LW",21-083,28,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,50.0
3,Bryan Mbeumo,19.0,cm CMR,"RW,WB",23-195,90,0,0,0,0,2,0,7,0,0,0,0,0,3,0,2,0.0
4,Mathias Jensen,8.0,dk DEN,"LM,CM",27-048,90,0,0,0,1,0,0,4,1,1,0,0,0,4,2,0,100.0
5,Christian Nørgaard,6.0,dk DEN,CM,28-345,82,1,0,0,1,0,0,1,0,1,0,0,0,9,1,1,50.0
6,Shandon Baptiste,26.0,gd GRN,CM,24-316,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
7,Josh Dasilva,10.0,eng ENG,RM,24-118,62,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,
8,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",22-230,28,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0
9,Rico Henry,3.0,eng ENG,LB,25-225,75,0,0,0,1,0,0,1,0,2,0,0,0,2,2,1,66.7
10,Vitaly Janelt,27.0,de GER,CB,24-284,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
11,Ben Mee,16.0,eng ENG,CB,33-150,90,1,0,0,1,0,0,0,4,1,0,0,0,3,5,0,100.0
12,Ethan Pinnock,5.0,jm JAM,CB,29-265,90,0,0,0,1,0,0,0,2,1,0,0,0,6,5,2,71.4
13,Aaron Hickey,2.0,sct SCO,RB,20-253,75,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3,0.0
14,Keane Lewis-Potter,23.0,eng ENG,WB,21-361,15,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,100.0
15,David Raya,1.0,es ESP,GK,27-156,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16,16 Players,,,,,990,2,0,0,10,8,3,25,9,6,0,0,0,46,24,15,61.5
