,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Pascal Groß,13.0,de GER,FW,31-121,67,0,0,0,0,0,0,10,0,1,0,0,0,2,0,3,0.0
1,Adam Lallana,14.0,eng ENG,AM,34-157,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2,Danny Welbeck,18.0,eng ENG,FW,31-322,90,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,50.0
3,Leandro Trossard,11.0,be BEL,LM,27-314,68,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,
4,Deniz Undav,21.0,de GER,FW,26-087,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,50.0
5,Moisés Caicedo,25.0,ec ECU,CM,20-346,90,1,0,0,4,6,0,2,1,3,0,0,0,7,2,0,100.0
6,Alexis Mac Allister,10.0,ar ARG,CM,23-294,90,0,0,0,0,3,0,1,0,2,0,0,0,9,1,0,100.0
7,Solly March,7.0,eng ENG,"RM,WB,LB",28-086,90,0,0,0,2,1,0,7,0,0,0,0,0,5,2,4,33.3
8,Pervis Estupiñán,30.0,ec ECU,LB,24-266,45,0,0,0,0,0,1,4,1,2,0,0,0,2,1,1,50.0
9,Kaoru Mitoma,22.0,jp JPN,"WB,RM",25-147,45,0,0,0,1,0,0,4,0,2,0,0,0,1,0,0,
10,Lewis Dunk,5.0,eng ENG,CB,30-327,90,0,0,0,0,0,1,0,2,1,0,0,0,8,3,2,60.0
11,Adam Webster,4.0,eng ENG,CB,27-283,90,0,0,0,4,0,0,0,1,0,0,0,0,8,0,3,0.0
12,Joël Veltman,34.0,nl NED,"RB,CB",30-272,90,0,0,0,2,1,0,2,2,1,0,1,0,3,1,0,100.0
13,Robert Sánchez,1.0,es ESP,GK,24-330,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,1,0,0,15,11,3,33,7,15,0,1,0,50,14,17,45.2
