,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Kai Havertz,29.0,de GER,"AM,FW",23-208,90,34,40,85.0,454,102,21,25,84.0,9,10,90.0,1,1,100.0,0,0.3,0.2,4,3,2,0,5
1,Christian Pulisic,10.0,us USA,LW,24-109,21,4,5,80.0,53,24,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Carney Chukwuemeka,30.0,eng ENG,LW,19-077,69,27,31,87.1,274,77,22,24,91.7,1,3,33.3,1,1,100.0,0,0.0,0.1,1,1,2,1,4
3,Hakim Ziyech,22.0,ma MAR,RW,29-292,68,21,37,56.8,306,142,11,13,84.6,6,11,54.5,2,7,28.6,0,0.0,0.1,0,2,1,1,3
4,Conor Gallagher,23.0,eng ENG,AM,22-333,22,4,7,57.1,46,19,3,5,60.0,1,2,50.0,0,0,,0,0.0,0.0,1,1,0,0,0
5,Raheem Sterling,17.0,eng ENG,AM,28-028,4,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
6,Pierre-Emerick Aubameyang,9.0,ga GAB,FW,33-201,63,9,12,75.0,98,23,7,7,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0
7,Omari Hutchinson,56.0,eng ENG,RW,19-067,23,9,13,69.2,124,9,7,8,87.5,1,1,100.0,1,2,50.0,0,0.0,0.1,1,0,0,0,0
8,Mateo Kovačić,8.0,hr CRO,DM,28-244,90,61,70,87.1,933,248,34,36,94.4,23,24,95.8,3,5,60.0,0,0.0,0.1,0,3,1,0,4
9,Denis Zakaria,20.0,ch SUI,DM,26-046,90,50,54,92.6,754,184,32,34,94.1,14,15,93.3,4,4,100.0,0,0.0,0.0,0,2,0,0,1
10,Marc Cucurella,32.0,es ESP,LB,24-167,67,41,52,78.8,463,145,29,32,90.6,8,8,100.0,0,4,0.0,0,0.0,0.0,0,1,0,0,0
11,Lewis Hall,67.0,eng ENG,LB,18-119,23,24,27,88.9,370,42,16,17,94.1,7,7,100.0,1,1,100.0,0,0.0,0.0,0,1,1,1,0
12,Kalidou Koulibaly,26.0,sn SEN,CB,31-199,90,77,89,86.5,1339,406,30,31,96.8,42,45,93.3,5,11,45.5,0,0.0,0.0,0,2,0,0,2
13,Thiago Silva,6.0,br BRA,CB,38-105,90,56,62,90.3,1070,379,16,19,84.2,35,37,94.6,4,5,80.0,0,0.0,0.0,0,2,0,0,1
14,César Azpilicueta,28.0,es ESP,RB,33-130,90,45,54,83.3,625,190,27,28,96.4,17,21,81.0,1,3,33.3,0,0.0,0.0,0,1,0,0,3
15,Kepa Arrizabalaga,1.0,es ESP,GK,28-094,90,31,40,77.5,740,453,11,12,91.7,13,13,100.0,7,15,46.7,0,0.0,0.0,0,1,0,0,0
16,16 Players,,,,,990,494,594,83.2,7655,2443,269,295,91.2,181,202,89.6,30,59,50.8,0,0.4,0.6,7,20,7,3,23
