,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Wilfried Zaha,11.0,ci CIV,FW,29-278,90,6,9,66.7,83,3,4,6,66.7,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,1
1,Eberechi Eze,10.0,eng ENG,LM,24-047,78,24,32,75.0,420,164,15,16,93.8,4,7,57.1,5,8,62.5,1,0.1,0.1,1,3,0,0,4
2,Luka Milivojević,4.0,rs SRB,CM,31-130,12,1,1,100.0,13,4,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
3,Jeffrey Schlupp,15.0,gh GHA,"CM,LM",29-235,87,12,18,66.7,286,149,3,7,42.9,6,7,85.7,3,4,75.0,0,0.0,0.0,0,1,0,0,1
4,Michael Olise,7.0,fr FRA,CM,20-246,3,1,1,100.0,41,22,0,0,,0,0,,1,1,100.0,0,0.1,0.0,1,0,0,0,0
5,Cheick Doucouré,28.0,ml MLI,CM,22-219,78,25,29,86.2,392,140,13,15,86.7,12,13,92.3,0,0,,0,0.5,0.3,2,3,1,0,5
6,Will Hughes,19.0,eng ENG,CM,27-120,12,1,4,25.0,10,0,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
7,Jordan Ayew,9.0,gh GHA,RM,30-338,62,6,10,60.0,69,21,4,4,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
8,Odsonne Édouard,22.0,fr FRA,RM,24-211,28,7,9,77.8,91,28,6,7,85.7,1,2,50.0,0,0,,0,0.0,0.1,0,0,0,0,1
9,Tyrick Mitchell,3.0,eng ENG,LB,22-348,78,19,33,57.6,251,176,14,17,82.4,3,9,33.3,1,5,20.0,0,0.0,0.0,0,2,1,0,1
10,Chris Richards,26.0,us USA,RB,22-140,12,4,5,80.0,41,20,4,5,80.0,0,0,,0,0,,0,0.3,0.0,1,0,0,0,0
11,Marc Guéhi,6.0,eng ENG,CB,22-033,90,15,22,68.2,297,150,8,11,72.7,6,7,85.7,1,4,25.0,0,0.0,0.0,1,0,0,0,1
12,Joachim Andersen,16.0,dk DEN,CB,26-076,90,18,27,66.7,361,156,6,6,100.0,9,11,81.8,3,8,37.5,0,0.0,0.0,0,0,0,0,0
13,Joel Ward,2.0,eng ENG,CB,32-290,90,17,34,50.0,291,126,8,9,88.9,7,11,63.6,2,13,15.4,0,0.0,0.0,0,0,0,0,1
14,Nathaniel Clyne,17.0,eng ENG,"RB,LB",31-132,90,23,36,63.9,365,229,12,18,66.7,9,14,64.3,2,4,50.0,0,0.0,0.0,0,2,0,0,2
15,Vicente Guaita,13.0,es ESP,GK,35-217,90,32,41,78.0,947,705,12,12,100.0,7,7,100.0,13,22,59.1,0,0.0,0.0,0,0,0,0,0
16,16 Players,,,,,990,211,311,67.8,3958,2093,111,136,81.6,68,94,72.3,31,70,44.3,1,1.0,0.6,7,11,2,0,17
