,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Odsonne Édouard,22.0,fr FRA,"FW,RW",25-005,89,35,2,6,14,15,4,35,2,0,0.0,2,100.0,16,66,39,1,2,0,0,3,20,4
1,David Ozoh,77.0,eng ENG,RW,17-235,1,4,0,0,0,4,0,4,0,0,,0,,2,1,1,0,0,0,1,0,4,0
2,Wilfried Zaha,11.0,ci CIV,LW,30-072,64,17,1,3,4,10,1,17,2,0,0.0,1,50.0,8,69,12,0,1,1,2,2,11,4
3,Jean-Philippe Mateta,14.0,fr FRA,"FW,LW",25-207,26,8,2,3,3,2,1,8,0,0,,0,,0,0,0,0,0,0,0,0,2,0
4,Jordan Ayew,9.0,gh GHA,"RW,LW",31-132,90,40,3,9,12,20,2,40,4,2,50.0,1,25.0,26,228,100,5,1,1,1,4,29,5
5,Eberechi Eze,10.0,eng ENG,AM,24-206,64,41,0,3,25,14,1,41,5,1,20.0,3,60.0,15,80,37,1,2,1,1,0,15,2
6,Michael Olise,7.0,fr FRA,AM,21-040,26,17,1,3,7,7,0,17,0,0,,0,,9,45,21,0,0,0,0,0,8,1
7,Jeffrey Schlupp,15.0,gh GHA,DM,30-029,64,30,2,8,19,3,0,30,0,0,,0,,15,42,4,0,0,0,1,0,16,0
8,Will Hughes,19.0,eng ENG,DM,27-279,26,11,2,3,6,2,0,11,0,0,,0,,4,18,14,0,0,0,0,0,4,0
9,Cheick Doucouré,28.0,ml MLI,DM,23-013,90,46,3,11,27,8,0,46,0,0,,0,,16,100,44,0,0,0,2,1,21,0
10,Tyrick Mitchell,3.0,eng ENG,LB,23-142,90,65,6,20,37,8,0,65,0,0,,0,,29,102,49,1,0,0,0,0,31,1
11,Marc Guéhi,6.0,eng ENG,CB,22-192,90,50,15,32,19,0,0,50,0,0,,0,,26,130,52,0,0,0,1,1,28,0
12,Chris Richards,26.0,us USA,CB,22-299,90,41,9,22,17,2,2,41,0,0,,0,,14,36,5,0,0,0,0,0,15,0
13,Joel Ward,2.0,eng ENG,RB,33-084,70,38,6,13,14,12,1,38,0,0,,0,,13,24,14,0,0,0,1,1,16,2
14,Nathaniel Clyne,17.0,eng ENG,RB,31-291,20,9,1,4,1,5,0,9,0,0,,0,,2,37,36,0,0,0,0,0,3,0
15,Vicente Guaita,13.0,es ESP,GK,36-011,90,35,33,35,0,0,0,35,0,0,,0,,20,154,113,0,0,0,0,0,13,0
16,16 Players,,,,,990,487,86,175,205,112,12,487,13,3,23.1,7,53.8,215,1132,541,8,6,3,10,12,236,19
