,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Odsonne Édouard,22.0,fr FRA,FW,25-096,70,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0
1,Jean-Philippe Mateta,14.0,fr FRA,FW,25-298,20,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2,Jordan Ayew,9.0,gh GHA,LW,31-223,90,35,35,0,0,0,0,3,0,0,0,0,0,25,0,3
3,Michael Olise,7.0,fr FRA,RW,21-131,90,47,33,14,4,0,0,11,1,8,2,4,0,31,0,0
4,Jeffrey Schlupp,15.0,gh GHA,LM,30-120,70,16,16,0,0,0,0,1,0,0,0,0,0,7,0,1
5,Will Hughes,19.0,eng ENG,LM,28-005,20,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0
6,Cheick Doucouré,28.0,ml MLI,CM,23-104,77,27,27,0,0,0,0,0,0,0,0,0,0,24,0,0
7,Luka Milivojević,4.0,rs SRB,CM,32-015,13,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
8,Eberechi Eze,10.0,eng ENG,RM,24-297,90,28,26,2,2,0,0,1,0,0,0,0,0,18,0,0
9,Tyrick Mitchell,3.0,eng ENG,LB,23-233,90,79,57,22,1,0,0,5,21,0,0,0,0,58,0,2
10,Marc Guéhi,6.0,eng ENG,CB,22-283,90,68,64,3,3,1,2,0,0,0,0,0,0,54,1,1
11,Joachim Andersen,16.0,dk DEN,CB,26-326,90,46,42,4,4,0,3,2,0,0,0,0,0,32,0,1
12,Joel Ward,2.0,eng ENG,RB,33-175,90,54,49,5,0,0,0,4,5,0,0,0,0,39,0,2
13,Sam Johnstone,21.0,eng ENG,GK,30-028,90,42,32,10,3,0,0,0,0,0,0,0,0,28,0,0
14,14 Players,,,,,990,476,415,60,17,1,5,27,27,8,2,4,0,343,1,10
