,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Carlos Vinícius,30.0,br BRA,FW,27-198,90,8,14,57.1,134,34,3,5,60.0,4,5,80.0,1,2,50.0,0,0.1,0.0,1,1,0,0,1
1,Neeskens Kebano,7.0,cd COD,LW,30-213,88,19,24,79.2,269,83,11,12,91.7,7,10,70.0,0,1,0.0,1,0.3,0.2,2,1,2,1,4
2,Shane Duffy,5.0,ie IRL,FW,30-281,2,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
3,Daniel James,21.0,wls WAL,RW,24-333,76,19,23,82.6,276,81,15,17,88.2,3,5,60.0,1,1,100.0,0,0.0,0.0,0,0,3,0,6
4,Harry Wilson,8.0,wls WAL,"RW,CM",25-201,14,8,9,88.9,132,7,4,5,80.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1
5,Andreas Pereira,18.0,br BRA,AM,26-281,76,23,36,63.9,529,114,8,11,72.7,7,7,100.0,7,11,63.6,0,0.0,0.0,1,2,0,0,2
6,Josh Onomah,25.0,eng ENG,"AM,CM",25-165,14,4,6,66.7,54,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
7,João Palhinha,26.0,pt POR,"DM,CB",27-092,90,51,60,85.0,916,204,24,25,96.0,21,22,95.5,6,11,54.5,0,0.0,0.0,0,6,0,0,7
8,Harrison Reed,6.0,eng ENG,DM,27-255,70,35,42,83.3,514,29,20,22,90.9,14,15,93.3,1,2,50.0,0,0.0,0.0,0,2,0,0,1
9,Tom Cairney,10.0,sct SCO,"DM,CM",31-262,20,17,19,89.5,278,25,8,8,100.0,8,9,88.9,1,2,50.0,0,0.0,0.0,0,2,0,0,1
10,Antonee Robinson,33.0,us USA,"LB,WB",25-062,90,46,68,67.6,931,453,15,21,71.4,24,32,75.0,6,12,50.0,0,0.0,0.1,0,7,2,0,4
11,Tim Ream,13.0,us USA,CB,35-004,90,61,70,87.1,1203,421,19,19,100.0,39,42,92.9,3,8,37.5,0,0.0,0.0,0,4,0,0,5
12,Tosin Adarabioyo,4.0,eng ENG,CB,25-015,90,57,62,91.9,1120,405,13,13,100.0,44,47,93.6,0,2,0.0,0,0.0,0.0,0,1,0,0,4
13,Bobby Reid,14.0,jm JAM,"RB,WB",29-249,90,47,60,78.3,838,310,20,24,83.3,23,25,92.0,4,9,44.4,0,0.0,0.0,0,3,2,0,3
14,Bernd Leno,17.0,de GER,GK,30-219,90,26,28,92.9,521,347,9,9,100.0,14,14,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0
15,15 Players,,,,,990,421,522,80.7,7715,2513,172,194,88.7,212,237,89.5,34,67,50.7,1,0.5,0.4,4,29,9,1,39
