,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Rodrigo,19.0,es ESP,"FW,AM",31-313,90,0,0,0,2,1,2,1,0,0,0,0,0,2,0,4,0.0
1,Degnand Gnonto,29.0,it ITA,LW,19-069,90,0,0,0,2,3,0,3,0,0,0,0,0,5,0,2,0.0
2,Jack Harrison,11.0,eng ENG,RW,26-054,66,0,0,0,1,0,0,10,0,1,0,0,0,2,0,0,
3,Patrick Bamford,9.0,eng ENG,"RW,FW",29-130,24,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0.0
4,Brenden Aaronson,7.0,us USA,AM,22-083,76,0,0,0,1,2,0,1,0,2,0,0,0,4,0,1,0.0
5,Joe Gelhardt,30.0,eng ENG,"AM,RW",20-254,14,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
6,Tyler Adams,12.0,us USA,DM,23-333,90,0,0,0,1,0,1,0,1,3,0,0,0,9,2,0,100.0
7,Marc Roca,8.0,es ESP,DM,26-048,76,0,0,0,1,1,0,4,2,2,0,0,0,4,1,1,50.0
8,Sam Greenwood,42.0,eng ENG,DM,20-352,14,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,
9,Pascal Struijk,21.0,nl NED,LB,23-155,65,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,
10,Maximilian Wöber,39.0,at AUT,"LB,CB",24-343,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0
11,Liam Cooper,6.0,sct SCO,CB,31-136,90,0,0,0,1,0,0,0,0,1,0,0,0,11,5,2,71.4
12,Robin Koch,5.0,de GER,CB,26-180,87,1,0,0,2,0,0,0,4,2,0,0,0,6,0,1,0.0
13,Junior Firpo,3.0,es ESP,LB,26-144,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,Luke Ayling,2.0,eng ENG,RB,31-141,90,0,0,0,3,2,0,1,3,2,0,0,0,8,3,2,60.0
15,Illan Meslier,1.0,fr FRA,GK,22-317,90,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
16,16 Players,,,,,990,2,0,0,18,12,5,22,12,14,0,0,0,60,11,16,40.7
