,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Patrick Bamford,9.0,eng ENG,FW,29-211,89,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0
1,Rasmus Nissen,25.0,dk DEN,FW,25-267,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Luis Sinisterra,23.0,co COL,LW,23-291,73,1,0,0,0,1,0,0,,0,2,0,2,2,3,0,0
3,Rodrigo,19.0,es ESP,"AM,FW",32-029,17,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
4,Jack Harrison,11.0,eng ENG,"RW,LW,AM",26-135,90,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,2,0
5,Brenden Aaronson,7.0,us USA,AM,22-164,73,2,1,1,1,0,0,1,0.0,1,3,0,3,0,2,0,0
6,Crysencio Summerville,10.0,nl NED,"RW,AM",21-156,17,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
7,Marc Roca,8.0,es ESP,DM,26-129,90,2,2,0,1,1,1,3,33.3,2,2,0,2,0,2,0,0
8,Weston McKennie,28.0,us USA,DM,24-219,90,2,1,0,2,0,0,2,0.0,2,1,0,1,0,2,1,0
9,Junior Firpo,3.0,es ESP,LB,26-225,90,2,1,1,0,1,1,2,50.0,1,1,1,0,1,3,7,0
10,Pascal Struijk,21.0,nl NED,CB,23-236,90,3,1,0,3,0,3,4,75.0,1,4,3,1,1,4,6,0
11,Robin Koch,5.0,de GER,CB,26-261,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0
12,Luke Ayling,2.0,eng ENG,RB,31-222,90,2,2,2,0,0,2,4,50.0,2,1,0,1,2,4,2,0
13,Illan Meslier,1.0,fr FRA,GK,23-033,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,15,9,4,8,3,8,18,44.4,10,20,7,13,10,25,22,0
