,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Patson Daka,20.0,zm ZAM,FW,24-034,68,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
1,Ayoze Pérez,17.0,es ESP,CM,29-106,22,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
2,Harvey Barnes,7.0,eng ENG,LM,24-338,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
3,Kiernan Dewsbury-Hall,22.0,eng ENG,CM,24-067,67,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
4,Nampalys Mendy,24.0,sn SEN,DM,30-142,23,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0
5,Youri Tielemans,8.0,be BEL,CM,25-189,54,4,1,2,2,0,3,5,60.0,2,0,0,0,1,5,0,0
6,Wilfred Ndidi,25.0,ng NGA,CM,25-331,36,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0
7,James Maddison,10.0,eng ENG,RM,25-354,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Dennis Praet,26.0,be BEL,RM,28-182,66,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
9,Boubakary Soumaré,42.0,fr FRA,DM,23-258,68,2,2,0,2,0,0,1,0.0,1,0,0,0,4,6,1,0
10,Jamie Vardy,9.0,eng ENG,FW,35-305,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
11,Luke Thomas,33.0,eng ENG,LB,21-155,90,1,1,0,1,0,0,0,,0,3,0,3,4,5,3,0
12,Wout Faes,3.0,be BEL,CB,24-223,90,3,1,3,0,0,3,4,75.0,1,2,1,1,2,5,5,0
13,Daniel Amartey,18.0,gh GHA,CB,27-326,90,2,0,2,0,0,1,1,100.0,0,1,1,0,2,4,5,0
14,Timothy Castagne,27.0,be BEL,RB,26-342,90,3,1,3,0,0,3,7,42.9,4,0,0,0,2,5,5,0
15,Danny Ward,1.0,wls WAL,GK,29-143,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
16,16 Players,,,,,990,19,9,14,5,0,12,21,57.1,9,11,3,8,20,39,25,0
