,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Darwin Núñez,27.0,uy URU,FW,23-107,90,18,1,3,4,11,5,18,0,0,,0,,6,26,14,1,0,0,1,2,13,6
1,Luis Díaz,23.0,co COL,LW,25-269,41,17,0,3,8,6,2,17,2,0,0.0,2,100.0,9,50,14,1,1,1,0,2,12,0
2,Roberto Firmino,9.0,br BRA,"AM,FW,RW",31-007,49,34,0,2,17,15,1,34,0,0,,0,,18,59,28,1,1,1,1,1,27,3
3,Mohamed Salah,11.0,eg EGY,RW,30-116,68,23,0,3,10,10,1,23,3,2,66.7,1,33.3,12,97,69,2,0,1,0,2,15,1
4,Fabinho,3.0,br BRA,CM,28-351,22,15,1,4,6,5,0,15,1,0,0.0,1,100.0,9,45,20,0,1,0,0,0,12,0
5,Diogo Jota,20.0,pt POR,"AM,LW",25-309,80,37,2,6,20,12,3,37,4,2,50.0,1,25.0,23,190,130,5,3,2,3,1,26,6
6,Harvey Elliott,19.0,eng ENG,LM,19-188,10,9,0,2,2,5,1,9,0,0,,0,,3,7,5,0,0,0,0,0,6,0
7,Thiago Alcántara,6.0,es ESP,"DM,CM,LM",31-181,90,74,4,20,48,6,0,74,0,0,,0,,44,218,60,0,2,0,0,2,56,1
8,Jordan Henderson,14.0,eng ENG,"DM,RM",32-114,90,69,3,14,41,15,1,69,0,0,,0,,37,162,105,3,2,0,1,1,51,0
9,Kostas Tsimikas,21.0,gr GRE,LB,26-150,90,71,5,32,18,21,4,71,0,0,,0,,34,169,70,1,0,0,3,0,40,6
10,Virgil van Dijk,4.0,nl NED,CB,31-093,90,86,13,49,34,3,1,86,0,0,,0,,45,183,97,0,2,0,0,0,63,0
11,Joël Matip,32.0,cm CMR,CB,31-062,68,56,12,35,18,3,0,56,0,0,,0,,36,203,127,0,1,0,2,0,40,0
12,Ibrahima Konaté,5.0,fr FRA,CB,23-137,22,12,1,5,6,1,0,12,0,0,,0,,7,61,19,1,1,0,0,0,5,0
13,Trent Alexander-Arnold,66.0,eng ENG,RB,24-002,45,36,0,11,21,5,0,36,0,0,,0,,19,50,14,0,0,0,0,0,20,0
14,Joe Gomez,2.0,eng ENG,RB,25-139,45,34,5,16,11,7,0,34,0,0,,0,,11,66,36,2,2,0,0,0,11,1
15,Alisson,1.0,br BRA,GK,30-007,90,49,42,48,1,0,0,49,0,0,,0,,33,213,146,0,0,0,0,0,27,0
16,16 Players,,,,,990,640,89,253,265,125,19,640,10,4,40.0,5,50.0,346,1799,954,17,16,5,11,11,424,24
