,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Roberto Firmino,9.0,br BRA,FW,30-364,74,0,0,0,2,1,1,0,0,0,0,0,0,3,0,1,0.0
1,Diogo Jota,20.0,pt POR,FW,25-301,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0.0
2,Fabio Carvalho,28.0,pt POR,LW,20-032,45,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,100.0
3,Luis Díaz,23.0,co COL,"LW,LM",25-261,45,0,0,0,0,3,0,1,0,1,0,0,0,1,1,0,100.0
4,Mohamed Salah,11.0,eg EGY,"RW,RM",30-108,90,0,0,0,3,0,0,1,0,0,0,0,0,3,0,1,0.0
5,Thiago Alcántara,6.0,es ESP,LM,31-173,88,0,0,0,1,5,0,0,1,2,0,0,0,8,1,0,100.0
6,Darwin Núñez,27.0,uy URU,FW,23-099,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
7,Fabinho,3.0,br BRA,CM,28-343,90,0,0,0,0,1,0,0,3,1,0,0,0,8,2,1,66.7
8,Jordan Henderson,14.0,eng ENG,RM,32-106,58,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0.0
9,Harvey Elliott,19.0,eng ENG,"RM,CM",19-180,32,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,
10,Kostas Tsimikas,21.0,gr GRE,LB,26-142,57,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,100.0
11,James Milner,7.0,eng ENG,LB,36-270,33,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,
12,Virgil van Dijk,4.0,nl NED,CB,31-085,90,0,0,0,0,0,0,0,2,1,0,0,0,3,3,0,100.0
13,Joël Matip,32.0,cm CMR,CB,31-054,90,0,0,0,0,0,0,0,1,1,0,0,0,9,0,1,0.0
14,Trent Alexander-Arnold,66.0,eng ENG,RB,23-359,90,1,0,0,1,0,0,8,1,2,0,0,0,10,1,0,100.0
15,Alisson,1.0,br BRA,GK,29-364,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,16 Players,,,,,990,1,0,0,9,13,1,25,9,9,0,0,0,59,11,8,57.9
