,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Anthony Martial,9.0,fr FRA,FW,27-022,64,15,16,93.8,155,52,10,10,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,2,0,0,2
1,Donny van de Beek,34.0,nl NED,AM,25-253,26,10,12,83.3,128,32,5,5,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2
2,Marcus Rashford,10.0,eng ENG,"LW,FW",25-057,85,19,22,86.4,305,89,11,11,100.0,5,6,83.3,3,3,100.0,1,0.2,0.1,1,2,3,0,4
3,Anthony Elanga,36.0,se SWE,FW,20-244,5,1,3,33.3,5,3,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0,1,0,0,0
4,Antony,21.0,br BRA,RW,22-306,64,18,28,64.3,317,68,11,13,84.6,3,6,50.0,3,5,60.0,0,0.0,0.0,0,2,1,0,3
5,Alejandro Garnacho,49.0,ar ARG,LW,18-179,26,12,14,85.7,131,22,9,10,90.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,1,0,1
6,Bruno Fernandes,8.0,pt POR,"AM,RW",28-110,90,44,57,77.2,626,199,25,29,86.2,14,16,87.5,3,8,37.5,0,0.8,0.5,3,5,3,0,4
7,Christian Eriksen,14.0,dk DEN,DM,30-316,76,65,77,84.4,941,224,37,40,92.5,24,28,85.7,2,7,28.6,1,0.2,0.2,2,5,1,0,5
8,Fred,17.0,br BRA,DM,29-297,14,6,9,66.7,82,35,3,3,100.0,2,2,100.0,0,2,0.0,0,0.2,0.1,2,0,1,0,2
9,Casemiro,18.0,br BRA,DM,30-307,90,76,89,85.4,1281,326,34,38,89.5,32,36,88.9,8,9,88.9,1,0.5,0.4,3,11,1,0,9
10,Tyrell Malacia,12.0,nl NED,LB,23-132,90,58,68,85.3,790,218,38,41,92.7,13,19,68.4,3,3,100.0,0,0.0,0.1,0,6,2,0,8
11,Luke Shaw,23.0,eng ENG,CB,27-168,90,100,111,90.1,1519,708,58,62,93.5,35,36,97.2,5,9,55.6,0,0.0,0.0,0,8,1,0,6
12,Raphaël Varane,19.0,fr FRA,CB,29-246,76,71,75,94.7,1360,442,24,25,96.0,40,41,97.6,6,8,75.0,0,0.0,0.0,0,5,0,0,5
13,Harry Maguire,5.0,eng ENG,CB,29-297,14,4,5,80.0,46,32,4,4,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,1
14,Aaron Wan-Bissaka,29.0,eng ENG,RB,25-031,90,52,61,85.2,729,248,35,39,89.7,12,15,80.0,3,3,100.0,0,0.3,0.1,2,3,0,0,4
15,David de Gea,1.0,es ESP,GK,32-050,90,19,21,90.5,414,291,9,9,100.0,6,6,100.0,4,6,66.7,0,0.0,0.0,0,0,0,0,0
16,16 Players,,,,,990,570,668,85.3,8829,2989,313,340,92.1,195,222,87.8,41,64,64.1,3,2.1,1.5,13,50,15,0,56
