,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Marcus Rashford,10.0,eng ENG,FW,25-125,84,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
1,Anthony Elanga,36.0,se SWE,FW,20-312,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Bruno Fernandes,8.0,pt POR,LW,28-178,90,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0
3,Antony,21.0,br BRA,RW,23-009,90,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
4,Wout Weghorst,27.0,nl NED,AM,30-210,57,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
5,Alejandro Garnacho,49.0,ar ARG,AM,18-247,33,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
6,Fred,17.0,br BRA,DM,30-000,57,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,0,0
7,Scott McTominay,39.0,sct SCO,DM,26-087,33,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
8,Casemiro,18.0,br BRA,DM,31-010,75,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,6,0
9,Marcel Sabitzer,15.0,at AUT,DM,28-353,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Luke Shaw,23.0,eng ENG,"LB,CB",27-236,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,4,0
11,Lisandro Martínez,6.0,ar ARG,CB,25-046,75,3,2,1,2,0,1,2,50.0,1,3,3,0,1,4,5,0
12,Tyrell Malacia,12.0,nl NED,LB,23-200,15,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
13,Raphaël Varane,19.0,fr FRA,CB,29-314,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,3,0
14,Diogo Dalot,20.0,pt POR,RB,23-352,90,6,4,3,3,0,3,5,60.0,2,2,0,2,2,8,7,0
15,David de Gea,1.0,es ESP,GK,32-118,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
16,16 Players,,,,,990,15,10,8,7,0,8,17,47.1,9,13,5,8,9,24,28,0
