,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Emmanuel Dennis,25.0,ng NGA,FW,24-334,69,8,8,0,0,0,0,1,0,0,0,0,0,6,0,1
1,Jesse Lingard,11.0,eng ENG,"LW,AM,FW",29-304,21,8,7,1,0,0,1,0,1,0,0,0,0,5,0,1
2,Morgan Gibbs-White,10.0,eng ENG,"LW,RW,RM,AM",22-261,90,36,24,11,5,0,0,7,1,5,2,3,0,23,1,0
3,Brennan Johnson,20.0,wls WAL,"RW,FW,LM",21-145,90,14,14,0,0,0,0,0,0,0,0,0,0,8,0,0
4,Cheikhou Kouyaté,21.0,sn SEN,LM,32-298,69,14,14,0,0,0,0,0,0,0,0,0,0,8,0,1
5,Orel Mangala,5.0,be BEL,"LM,CM,DM",24-211,21,11,11,0,0,0,0,1,0,0,0,0,0,9,0,0
6,Remo Freuler,23.0,ch SUI,CM,30-183,83,38,35,3,3,0,1,0,0,0,0,0,0,32,0,1
7,Taiwo Awoniyi,9.0,ng NGA,"FW,CM",25-064,7,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Ryan Yates,22.0,eng ENG,"RM,CM,DM",24-328,90,28,24,4,2,0,1,0,0,0,0,0,0,21,0,0
9,Harry Toffolo,15.0,eng ENG,LB,27-057,88,31,24,7,0,0,0,3,7,0,0,0,0,18,0,1
10,Sam Surridge,16.0,eng ENG,RW,24-079,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Scott McKenna,26.0,sct SCO,CB,25-337,90,48,47,1,1,0,0,0,0,0,0,0,0,37,0,0
12,Steve Cook,3.0,eng ENG,CB,31-179,90,37,35,2,2,0,0,0,0,0,0,0,0,29,0,0
13,Neco Williams,7.0,wls WAL,"RB,CB",21-185,90,41,30,11,1,0,0,3,10,0,0,0,0,31,0,2
14,Dean Henderson,1.0,eng ENG,GK,25-217,90,36,25,11,3,0,0,0,0,0,0,0,0,20,0,0
15,15 Players,,,,,990,353,301,51,17,0,3,15,19,5,2,3,0,248,1,7
