,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Taiwo Awoniyi,9.0,ng NGA,FW,25-145,70,0,0,0,1,1,0,0,0,1,0,0,0,6,1,1,50.0
1,Sam Surridge,16.0,eng ENG,FW,24-160,20,0,0,0,1,0,0,1,0,0,0,0,0,6,1,2,33.3
2,Brennan Johnson,20.0,wls WAL,FW,21-226,83,1,0,0,3,0,0,2,0,2,0,0,0,4,0,3,0.0
3,Neco Williams,7.0,wls WAL,FW,21-266,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
4,Morgan Gibbs-White,10.0,eng ENG,AM,22-342,70,0,0,0,2,2,0,4,0,1,0,0,0,1,2,4,33.3
5,Gustavo Scarpa,31.0,br BRA,AM,28-364,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
6,Orel Mangala,5.0,be BEL,LM,24-292,59,0,0,0,2,0,0,0,1,1,0,0,0,3,1,1,50.0
7,Jack Colback,8.0,eng ENG,LM,33-072,31,0,0,0,1,0,0,0,0,2,0,0,0,2,1,1,50.0
8,Remo Freuler,23.0,ch SUI,CM,30-264,90,1,0,0,1,0,0,0,0,1,0,0,0,5,4,2,66.7
9,Ryan Yates,22.0,eng ENG,RM,25-044,90,0,0,0,2,5,0,1,0,0,0,0,0,6,2,3,40.0
10,Renan Lodi,32.0,br BRA,LB,24-271,83,0,0,0,1,1,0,3,0,2,0,0,0,10,1,3,25.0
11,Harry Toffolo,15.0,eng ENG,LB,27-138,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Willy Boly,30.0,ci CIV,CB,31-335,90,0,0,0,1,2,0,0,2,0,0,0,0,3,3,1,75.0
13,Joe Worrall,4.0,eng ENG,CB,25-359,90,0,0,0,2,0,0,0,2,0,0,0,0,2,5,1,83.3
14,Serge Aurier,24.0,ci CIV,RB,30-011,90,0,0,0,0,2,0,0,5,1,0,0,0,7,9,3,75.0
15,Dean Henderson,1.0,eng ENG,GK,25-298,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,16 Players,,,,,990,2,0,0,17,14,0,11,10,11,0,0,0,57,30,25,54.5
