,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Chris Wood,39.0,nz NZL,FW,31-080,76,13,15,86.7,164,37,8,9,88.9,5,6,83.3,0,0,,0,0.0,0.0,0,1,0,0,0
1,Jesse Lingard,11.0,eng ENG,"LW,CM",30-072,14,14,17,82.4,233,18,9,11,81.8,2,3,66.7,3,3,100.0,0,0.0,0.0,1,1,0,0,0
2,Morgan Gibbs-White,10.0,eng ENG,AM,23-029,90,31,46,67.4,436,123,21,29,72.4,8,12,66.7,2,5,40.0,0,0.2,0.3,2,1,2,1,6
3,Brennan Johnson,20.0,wls WAL,AM,21-278,85,11,18,61.1,167,24,7,12,58.3,4,6,66.7,0,0,,0,0.1,0.0,2,0,0,0,0
4,Sam Surridge,16.0,eng ENG,FW,24-212,5,2,3,66.7,39,10,0,1,0.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
5,Jack Colback,8.0,eng ENG,"LM,DM",33-124,90,31,32,96.9,476,124,19,20,95.0,9,9,100.0,2,2,100.0,0,0.0,0.0,0,2,1,0,5
6,Jonjo Shelvey,6.0,eng ENG,CM,30-363,66,31,38,81.6,650,166,10,11,90.9,17,19,89.5,4,8,50.0,0,0.1,0.1,2,5,0,0,4
7,André Ayew,34.0,gh GHA,"RW,CM,FW",33-070,24,8,10,80.0,89,19,7,9,77.8,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
8,Remo Freuler,23.0,ch SUI,"RM,DM",30-316,90,36,45,80.0,450,113,26,31,83.9,9,12,75.0,0,1,0.0,0,0.0,0.0,0,4,0,0,3
9,Renan Lodi,32.0,br BRA,LB,24-323,76,25,38,65.8,389,147,15,20,75.0,8,11,72.7,2,4,50.0,0,0.0,0.0,1,1,0,0,0
10,Harry Toffolo,15.0,eng ENG,LB,27-190,14,12,18,66.7,184,87,10,10,100.0,1,5,20.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0
11,Felipe,38.0,br BRA,CB,33-285,90,44,56,78.6,919,338,14,18,77.8,21,25,84.0,8,10,80.0,0,0.0,0.0,0,2,1,0,2
12,Joe Worrall,4.0,eng ENG,CB,26-046,90,41,54,75.9,890,184,5,7,71.4,30,36,83.3,4,9,44.4,0,0.0,0.0,0,1,0,0,1
13,Neco Williams,7.0,wls WAL,RB,21-318,90,41,58,70.7,748,277,21,25,84.0,15,21,71.4,5,10,50.0,0,0.0,0.0,0,5,0,0,5
14,Keylor Navas,12.0,cr CRC,GK,36-072,90,25,33,75.8,897,731,1,1,100.0,8,8,100.0,16,24,66.7,0,0.0,0.0,0,0,0,0,0
15,15 Players,,,,,990,365,481,75.9,6731,2398,173,214,80.8,140,176,79.5,47,78,60.3,0,0.4,0.5,8,25,4,1,28
