,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Taiwo Awoniyi,9.0,ng NGA,FW,25-008,60,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
1,Morgan Gibbs-White,10.0,eng ENG,"AM,FW",22-205,30,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0
2,Brennan Johnson,20.0,wls WAL,FW,21-089,90,1,1,0,0,1,1,3,33.3,2,1,0,1,0,1,0,0
3,Jesse Lingard,11.0,eng ENG,"AM,FW",29-248,83,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
4,Cheikhou Kouyaté,21.0,sn SEN,CM,32-242,7,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
5,Lewis O'Brien,14.0,eng ENG,"CM,AM",23-310,90,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0
6,Orel Mangala,5.0,be BEL,CM,24-155,54,2,2,1,0,1,1,3,33.3,2,0,0,0,0,2,0,0
7,Ryan Yates,22.0,eng ENG,CM,24-272,36,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
8,Harry Toffolo,15.0,eng ENG,WB,27-001,90,4,4,2,0,2,1,2,50.0,1,1,0,1,1,5,2,0
9,Neco Williams,7.0,wls WAL,WB,21-129,90,5,3,5,0,0,4,6,66.7,2,1,1,0,0,5,2,0
10,Scott McKenna,26.0,sct SCO,CB,25-281,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
11,Steve Cook,3.0,eng ENG,CB,31-123,90,3,3,3,0,0,2,2,100.0,0,2,2,0,0,3,6,0
12,Joe Worrall,4.0,eng ENG,CB,25-222,90,2,1,0,1,1,1,2,50.0,1,2,2,0,0,2,2,1
13,Dean Henderson,1.0,eng ENG,GK,25-161,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
14,14 Players,,,,,990,22,17,12,3,7,14,23,60.9,9,9,5,4,2,24,21,1
