,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Taiwo Awoniyi,9.0,ng NGA,FW,25-253,86,24,3,5,11,8,5,24,0,0,,0,,16,57,11,0,2,0,3,3,17,2
1,Sam Surridge,16.0,eng ENG,AM,24-268,4,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
2,Danilo,28.0,br BRA,"AM,CM",21-358,90,25,2,8,10,7,1,25,1,0,0.0,1,100.0,5,12,5,0,0,0,1,0,5,0
3,Morgan Gibbs-White,10.0,eng ENG,"AM,WB",23-085,90,29,1,4,10,18,3,29,2,2,100.0,0,0.0,16,128,101,5,4,1,0,2,14,3
4,Orel Mangala,5.0,be BEL,CM,25-035,90,18,1,7,6,6,2,18,0,0,,0,,8,41,29,0,0,0,3,0,6,0
5,Remo Freuler,23.0,ch SUI,CM,31-007,75,18,4,11,5,2,1,18,0,0,,0,,2,2,0,0,0,0,0,0,3,0
6,Brennan Johnson,20.0,wls WAL,AM,21-334,15,5,0,0,1,4,2,5,0,0,,0,,3,19,9,0,0,0,0,0,3,1
7,Renan Lodi,32.0,br BRA,WB,25-014,86,23,8,11,9,4,0,23,2,0,0.0,2,100.0,11,39,2,0,0,0,0,1,5,1
8,André Ayew,34.0,gh GHA,FW,33-126,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
9,Neco Williams,7.0,wls WAL,"WB,CB",22-009,90,31,6,23,3,5,0,31,5,0,0.0,5,100.0,10,49,26,1,0,0,2,0,7,1
10,Scott McKenna,26.0,sct SCO,CB,26-161,29,3,1,2,1,0,0,3,0,0,,0,,2,21,0,0,0,0,0,0,0,0
11,Joe Worrall,4.0,eng ENG,CB,26-102,61,23,5,11,7,5,4,23,0,0,,0,,7,11,1,0,0,0,1,0,8,0
12,Moussa Niakhate,19.0,sn SEN,CB,27-045,90,37,13,23,9,6,0,37,0,0,,0,,7,81,17,0,0,0,1,0,3,0
13,Felipe,38.0,br BRA,CB,33-341,86,31,12,23,3,5,5,31,1,1,100.0,0,0.0,12,65,36,0,0,0,0,0,11,0
14,Emmanuel Dennis,25.0,ng NGA,WB,25-158,4,4,0,1,2,2,0,4,1,0,0.0,0,0.0,4,27,15,1,0,0,0,0,3,1
15,Keylor Navas,12.0,cr CRC,GK,36-128,90,27,24,27,0,0,0,27,0,0,,0,,9,70,51,0,0,0,0,0,2,0
16,16 Players,,,,,990,299,80,156,78,72,23,299,12,3,25.0,8,66.7,112,622,303,7,6,1,11,6,88,9
