,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Paul Onuachu,12.0,ng NGA,FW,28-350,61,0,0,0,1,0,1,0,0,0,0,0,0,5,7,2,77.8
1,Sekou Mara,18.0,fr FRA,FW,20-287,29,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,100.0
2,Stuart Armstrong,17.0,sct SCO,LW,31-044,72,0,0,0,2,1,0,3,1,1,0,0,0,4,0,0,
3,Moussa Djenepo,19.0,ml MLI,"LB,LW",24-332,18,1,0,0,3,1,1,0,0,0,0,0,0,3,0,0,
4,Theo Walcott,32.0,eng ENG,RW,34-058,61,0,0,0,0,0,1,1,0,1,0,0,0,4,0,1,0.0
5,Kamaldeen Sulemana,20.0,gh GHA,RW,21-087,29,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,
6,Carlos Alcaraz,26.0,ar ARG,AM,20-164,72,0,0,0,1,1,1,0,0,1,0,0,0,3,0,2,0.0
7,Mohamed Elyounoussi,24.0,no NOR,AM,28-282,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
8,Roméo Lavia,45.0,be BEL,DM,19-127,90,1,0,0,4,0,0,0,1,0,0,0,0,3,1,1,50.0
9,James Ward-Prowse,8.0,eng ENG,DM,28-193,90,0,0,0,1,3,0,3,2,3,0,0,0,6,0,0,
10,Ainsley Maitland-Niles,3.0,eng ENG,LB,25-257,81,0,0,0,1,1,0,1,2,0,0,0,0,3,0,0,
11,Adam Armstrong,9.0,eng ENG,LW,26-092,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
12,Lyanco,4.0,br BRA,CB,26-101,90,0,0,0,0,1,0,0,0,2,0,0,0,3,2,0,100.0
13,Jan Bednarek,35.0,pl POL,CB,27-031,90,0,0,0,1,0,0,0,2,0,0,0,0,9,1,1,50.0
14,Kyle Walker-Peters,2.0,eng ENG,RB,26-030,90,0,0,0,1,0,0,1,0,1,0,0,0,5,0,0,
15,Alex McCarthy,1.0,eng ENG,GK,33-161,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16 Players,,,,,990,2,0,0,17,9,4,9,9,9,0,0,0,50,14,8,63.6
