,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Harry Kane,10.0,eng ENG,FW,29-213,90,0,0,0,1,1,0,1,0,1,0,0,0,2,2,1,66.7
1,Richarlison,9.0,br BRA,AM,25-292,88,0,0,0,2,4,0,1,0,4,0,0,0,7,3,3,50.0
2,Pedro Porro,23.0,es ESP,AM,23-166,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
3,Dejan Kulusevski,21.0,se SWE,AM,22-307,78,0,0,0,2,0,0,2,1,0,0,0,0,2,0,0,
4,Son Heung-min,7.0,kr KOR,AM,30-233,12,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
5,Pierre Højbjerg,5.0,dk DEN,CM,27-205,90,0,0,0,1,1,0,0,2,2,0,0,0,7,0,0,
6,Oliver Skipp,4.0,eng ENG,CM,22-163,90,0,0,0,1,1,0,1,3,1,0,0,0,5,0,1,0.0
7,Ben Davies,33.0,wls WAL,WB,29-308,90,1,0,0,1,1,0,3,2,1,0,0,0,2,4,2,66.7
8,Emerson,12.0,br BRA,WB,24-043,90,1,0,0,0,1,0,3,0,4,0,0,0,9,3,2,60.0
9,Clément Lenglet,34.0,fr FRA,CB,27-254,90,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0.0
10,Eric Dier,15.0,eng ENG,CB,29-042,90,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,100.0
11,Cristian Romero,17.0,ar ARG,CB,24-305,90,0,0,0,1,0,0,0,0,1,0,0,0,7,2,1,66.7
12,Fraser Forster,20.0,eng ENG,GK,34-346,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,13 Players,,,,,990,2,0,0,10,9,0,13,10,16,0,0,0,48,17,11,60.7
