,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Harry Kane,10.0,eng ENG,FW,29-023,90,18,22,81.8,375,165,7,8,87.5,8,8,100.0,3,4,75.0,0,0.1,0.1,2,2,1,1,5
1,Son Heung-min,7.0,kr KOR,AM,30-043,75,14,24,58.3,210,64,9,10,90.0,4,8,50.0,1,5,20.0,0,0.0,0.0,0,2,0,0,4
2,Richarlison,9.0,br BRA,"AM,FW",25-102,15,6,8,75.0,103,35,3,4,75.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0
3,Dejan Kulusevski,21.0,se SWE,AM,22-117,85,28,36,77.8,420,135,13,17,76.5,12,14,85.7,1,1,100.0,0,0.4,0.2,3,0,3,1,4
4,Yves Bissouma,38.0,ml MLI,CM,25-355,5,0,0,,0,0,0,0,,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0
5,Rodrigo Bentancur,30.0,uy URU,CM,25-056,90,48,52,92.3,777,278,23,23,100.0,24,26,92.3,1,3,33.3,0,0.0,0.0,0,3,0,0,6
6,Pierre Højbjerg,5.0,dk DEN,CM,27-015,90,66,69,95.7,1205,382,31,33,93.9,22,22,100.0,11,11,100.0,0,0.0,0.0,0,11,1,0,12
7,Ivan Perišić,14.0,hr CRO,WB,33-199,75,27,37,73.0,419,119,16,18,88.9,7,9,77.8,4,8,50.0,1,0.9,0.6,3,0,2,1,3
8,Ryan Sessegnon,19.0,eng ENG,WB,22-094,15,4,7,57.1,95,41,0,1,0.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
9,Emerson,12.0,br BRA,WB,23-218,90,47,55,85.5,768,209,25,25,100.0,20,20,100.0,2,5,40.0,0,0.0,0.0,0,3,1,1,8
10,Ben Davies,33.0,wls WAL,CB,29-118,90,50,61,82.0,852,278,25,27,92.6,22,25,88.0,3,6,50.0,0,0.0,0.0,0,2,0,0,3
11,Eric Dier,15.0,eng ENG,CB,28-217,90,62,70,88.6,1443,588,18,20,90.0,31,32,96.9,13,16,81.3,0,0.0,0.0,0,2,0,0,4
12,Davinson Sánchez,6.0,co COL,CB,26-069,90,35,39,89.7,722,157,7,8,87.5,25,25,100.0,3,6,50.0,0,0.0,0.0,0,1,0,0,1
13,Hugo Lloris,1.0,fr FRA,GK,35-237,90,29,35,82.9,755,472,6,6,100.0,14,14,100.0,9,15,60.0,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,434,515,84.3,8144,2923,183,200,91.5,194,210,92.4,53,82,64.6,1,1.4,1.0,9,27,8,4,50
