,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2010-08-14,,Premier League,Matchweek 1,Sat,Home,W,3,0,West Ham,,"36,604",,4-5-1,Mike Dean,https://fbref.com/en/matches/6155b2f5/Aston-Villa-West-Ham-United-August-14-2010-Premier-League,
2,2010-08-22,,Premier League,Matchweek 2,Sun,Away,L,0,6,Newcastle Utd,,"43,546",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/cc0df781/Newcastle-United-Aston-Villa-August-22-2010-Premier-League,
4,2010-08-29,,Premier League,Matchweek 3,Sun,Home,W,1,0,Everton,,"34,725",,4-5-1,Mike Jones,https://fbref.com/en/matches/f04dd914/Aston-Villa-Everton-August-29-2010-Premier-League,
5,2010-09-13,,Premier League,Matchweek 4,Mon,Away,L,1,2,Stoke City,,"25,899",,4-5-1,Lee Probert,https://fbref.com/en/matches/9c1cc5cb/Stoke-City-Aston-Villa-September-13-2010-Premier-League,
6,2010-09-18,,Premier League,Matchweek 5,Sat,Home,D,1,1,Bolton,,"34,655",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/907608af/Aston-Villa-Bolton-Wanderers-September-18-2010-Premier-League,
7,2010-09-26,,Premier League,Matchweek 6,Sun,Away,W,2,1,Wolves,,"27,511",,4-4-1-1,Mark Halsey,https://fbref.com/en/matches/eec4a586/Wolverhampton-Wanderers-Aston-Villa-September-26-2010-Premier-League,
8,2010-10-02,,Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,,"35,871",,4-5-1,Mark Clattenburg,https://fbref.com/en/matches/92980a5f/Tottenham-Hotspur-Aston-Villa-October-2-2010-Premier-League,
9,2010-10-16,,Premier League,Matchweek 8,Sat,Home,D,0,0,Chelsea,,"40,122",,4-5-1,Lee Mason,https://fbref.com/en/matches/1688d8b7/Aston-Villa-Chelsea-October-16-2010-Premier-League,
10,2010-10-23,,Premier League,Matchweek 9,Sat,Away,L,0,1,Sunderland,,"41,506",,4-5-1,Mark Halsey,https://fbref.com/en/matches/393ea495/Sunderland-Aston-Villa-October-23-2010-Premier-League,
11,2010-10-31,,Premier League,Matchweek 10,Sun,Home,D,0,0,Birmingham City,,"40,688",,4-1-4-1,Howard Webb,https://fbref.com/en/matches/57662fc1/Aston-Villa-Birmingham-City-October-31-2010-Premier-League,
12,2010-11-06,,Premier League,Matchweek 11,Sat,Away,D,1,1,Fulham,,"23,654",,4-5-1,Peter Walton,https://fbref.com/en/matches/a73c712d/Fulham-Aston-Villa-November-6-2010-Premier-League,
13,2010-11-10,,Premier League,Matchweek 12,Wed,Home,W,3,2,Blackpool,,"34,330",,4-5-1,Anthony Taylor,https://fbref.com/en/matches/94b4c9dc/Aston-Villa-Blackpool-November-10-2010-Premier-League,
14,2010-11-13,,Premier League,Matchweek 13,Sat,Home,D,2,2,Manchester Utd,,"40,073",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/6c6a17ab/Aston-Villa-Manchester-United-November-13-2010-Premier-League,
15,2010-11-21,,Premier League,Matchweek 14,Sun,Away,L,0,2,Blackburn,,"21,848",,4-5-1,Michael Oliver,https://fbref.com/en/matches/a79e3620/Blackburn-Rovers-Aston-Villa-November-21-2010-Premier-League,
16,2010-11-27,,Premier League,Matchweek 15,Sat,Home,L,2,4,Arsenal,,"38,544",,4-5-1,Mark Clattenburg,https://fbref.com/en/matches/7725ae9c/Aston-Villa-Arsenal-November-27-2010-Premier-League,
17,2010-12-06,,Premier League,Matchweek 16,Mon,Away,L,0,3,Liverpool,,"39,079",,4-5-1,Phil Dowd,https://fbref.com/en/matches/526a7383/Liverpool-Aston-Villa-December-6-2010-Premier-League,
18,2010-12-11,,Premier League,Matchweek 17,Sat,Home,W,2,1,West Brom,,"37,015",,4-5-1,Mark Halsey,https://fbref.com/en/matches/47c84d2e/Aston-Villa-West-Bromwich-Albion-December-11-2010-Premier-League,
19,2010-12-26,,Premier League,Matchweek 19,Sun,Home,L,1,2,Tottenham,,"39,411",,4-4-2,Martin Atkinson,https://fbref.com/en/matches/ff5ef7fb/Aston-Villa-Tottenham-Hotspur-December-26-2010-Premier-League,
20,2010-12-28,,Premier League,Matchweek 20,Tue,Away,L,0,4,Manchester City,,"46,716",,4-5-1,Michael Oliver,https://fbref.com/en/matches/77dbb63e/Manchester-City-Aston-Villa-December-28-2010-Premier-League,
21,2011-01-02,,Premier League,Matchweek 21,Sun,Away,D,3,3,Chelsea,,"41,222",,4-5-1,Lee Mason,https://fbref.com/en/matches/e8f1b22b/Chelsea-Aston-Villa-January-2-2011-Premier-League,
22,2011-01-05,,Premier League,Matchweek 22,Wed,Home,L,0,1,Sunderland,,"32,627",,4-5-1,Peter Walton,https://fbref.com/en/matches/096f02c8/Aston-Villa-Sunderland-January-5-2011-Premier-League,
23,2011-01-16,,Premier League,Matchweek 23,Sun,Away,D,1,1,Birmingham City,,"22,287",,4-5-1,Mark Clattenburg,https://fbref.com/en/matches/c70d2c81/Birmingham-City-Aston-Villa-January-16-2011-Premier-League,
24,2011-01-22,,Premier League,Matchweek 24,Sat,Home,W,1,0,Manchester City,,"37,315",,4-5-1,Howard Webb,https://fbref.com/en/matches/1524a30b/Aston-Villa-Manchester-City-January-22-2011-Premier-League,
25,2011-01-25,,Premier League,Matchweek 18,Tue,Away,W,2,1,Wigan Athletic,,"16,442",,4-5-1,Jon Moss,https://fbref.com/en/matches/0389f4ee/Wigan-Athletic-Aston-Villa-January-25-2011-Premier-League,
26,2011-02-01,,Premier League,Matchweek 25,Tue,Away,L,1,3,Manchester Utd,,"75,256",,4-5-1,Chris Foy,https://fbref.com/en/matches/f7be830d/Manchester-United-Aston-Villa-February-1-2011-Premier-League,
27,2011-02-05,,Premier League,Matchweek 26,Sat,Home,D,2,2,Fulham,,"35,899",,4-5-1,Lee Mason,https://fbref.com/en/matches/c5237de6/Aston-Villa-Fulham-February-5-2011-Premier-League,
28,2011-02-12,,Premier League,Matchweek 27,Sat,Away,D,1,1,Blackpool,,"16,000",,4-5-1,Howard Webb,https://fbref.com/en/matches/790597b2/Blackpool-Aston-Villa-February-12-2011-Premier-League,
29,2011-02-26,,Premier League,Matchweek 28,Sat,Home,W,4,1,Blackburn,,"34,309",,4-5-1,Martin Atkinson,https://fbref.com/en/matches/be831087/Aston-Villa-Blackburn-Rovers-February-26-2011-Premier-League,
30,2011-03-05,,Premier League,Matchweek 29,Sat,Away,L,2,3,Bolton,,"22,533",,4-5-1,Kevin Friend,https://fbref.com/en/matches/11a40978/Bolton-Wanderers-Aston-Villa-March-5-2011-Premier-League,
31,2011-03-19,,Premier League,Matchweek 30,Sat,Home,L,0,1,Wolves,,"38,965",,4-5-1,Phil Dowd,https://fbref.com/en/matches/90f54d42/Aston-Villa-Wolverhampton-Wanderers-March-19-2011-Premier-League,
32,2011-04-02,,Premier League,Matchweek 31,Sat,Away,D,2,2,Everton,,"37,619",,4-5-1,Mike Jones,https://fbref.com/en/matches/e45b84ac/Everton-Aston-Villa-April-2-2011-Premier-League,
33,2011-04-10,,Premier League,Matchweek 32,Sun,Home,W,1,0,Newcastle Utd,,"37,090",,4-4-2,Stuart Attwell,https://fbref.com/en/matches/3fc7406a/Aston-Villa-Newcastle-United-April-10-2011-Premier-League,
34,2011-04-16,,Premier League,Matchweek 33,Sat,Away,W,2,1,West Ham,,,,4-4-2,Mark Halsey,https://fbref.com/en/matches/a522d605/West-Ham-United-Aston-Villa-April-16-2011-Premier-League,
35,2011-04-23,,Premier League,Matchweek 34,Sat,Home,D,1,1,Stoke City,,"35,235",,4-4-2,Chris Foy,https://fbref.com/en/matches/fbb445c5/Aston-Villa-Stoke-City-April-23-2011-Premier-League,
36,2011-04-30,,Premier League,Matchweek 35,Sat,Away,L,1,2,West Brom,,"25,889",,4-4-2,Phil Dowd,https://fbref.com/en/matches/97d6bbdf/West-Bromwich-Albion-Aston-Villa-April-30-2011-Premier-League,
37,2011-05-07,,Premier League,Matchweek 36,Sat,Home,D,1,1,Wigan Athletic,,"36,293",,4-4-2,Mike Jones,https://fbref.com/en/matches/84242729/Aston-Villa-Wigan-Athletic-May-7-2011-Premier-League,
38,2011-05-15,,Premier League,Matchweek 37,Sun,Away,W,2,1,Arsenal,,"60,023",,4-5-1,Michael Oliver,https://fbref.com/en/matches/ae932621/Arsenal-Aston-Villa-May-15-2011-Premier-League,
39,2011-05-22,,Premier League,Matchweek 38,Sun,Home,W,1,0,Liverpool,,"42,785",,4-5-1,Lee Probert,https://fbref.com/en/matches/16d77b2b/Aston-Villa-Liverpool-May-22-2011-Premier-League,
