,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Carlton Cole,,eng ENG,FW,27-025,90,0,1,0,,,,0,0,,,,,,,0,,
1,Frédéric Piquionne,,fr FRA,FW,31-333,90,1,0,0,,,,0,0,,,,,,,0,,
2,Valon Behrami,,ch SUI,"DF,MF",25-201,90,1,0,0,,,,0,0,,,,,,,0,,
3,Luís Boa Morte,,pt POR,"FW,MF",33-094,82,0,1,0,,,,0,0,,,,,,,0,,
4,Kieron Dyer,,eng ENG,MF,31-312,8,0,0,0,,,,0,0,,,,,,,0,,
5,Victor Obinna,,ng NGA,FW,23-226,89,0,0,0,,,,1,0,,,,,,,0,,
6,Radoslav Kováč,,cz CZE,"DF,MF",30-344,1,0,0,0,,,,0,0,,,,,,,0,,
7,Scott Parker,,eng ENG,MF,30-024,90,0,0,0,,,,0,0,,,,,,,0,,
8,Hérita Ilunga,,cd COD,DF,28-254,90,0,0,0,,,,0,0,,,,,,,0,,
9,Matt Upson,,eng ENG,DF,31-202,90,0,0,0,,,,0,0,,,,,,,0,,
10,Danny Gabbidon,,wls WAL,DF,31-090,90,0,0,0,,,,0,0,,,,,,,0,,
11,Lars Jacobsen,,dk DEN,DF,31-047,90,0,0,0,,,,0,0,,,,,,,0,,
12,Robert Green,,eng ENG,GK,30-292,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,2,2,0,,,,1,0,,,,,,,0,,
