,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Clint Dempsey,,us USA,"FW,MF",27-193,76,1,0,0,,,,0,0,,,,,,,0,,
1,Eddie Johnson,,us USA,FW,26-171,14,0,0,0,,,,0,0,,,,,,,0,,
2,Mousa Dembélé,,be BEL,MF,23-064,90,0,0,0,,,,0,0,,,,,,,0,,
3,Simon Davies,,wls WAL,MF,30-330,90,0,0,0,,,,0,0,,,,,,,0,,
4,Danny Murphy,,eng ENG,MF,33-184,88,0,0,0,,,,0,0,,,,,,,0,,
5,Zoltán Gera,,hu HUN,MF,31-149,2,0,0,0,,,,0,0,,,,,,,0,,
6,Dickson Etuhu,,ng NGA,MF,28-102,90,0,0,0,,,,0,0,,,,,,,0,,
7,Damien Duff,,ie IRL,"FW,MF",31-200,90,0,0,0,,,,0,0,,,,,,,0,,
8,Carlos Salcido,,mx MEX,"DF,MF",30-169,90,0,1,0,,,,0,0,,,,,,,0,,
9,Brede Hangeland,,no NOR,DF,29-090,90,0,0,0,,,,1,0,,,,,,,0,,
10,Aaron Hughes,,nir NIR,DF,30-314,90,0,0,0,,,,0,0,,,,,,,0,,
11,Stephen Kelly,,ie IRL,DF,27-012,90,0,0,0,,,,0,0,,,,,,,0,,
12,Mark Schwarzer,,au AUS,GK,37-347,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,1,1,0,,,,1,0,,,,,,,0,,
