,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2010-08-14,,Premier League,Matchweek 1,Sat,Away,L,0,6,Chelsea,,"41,589",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/d24b45a4/Chelsea-West-Bromwich-Albion-August-14-2010-Premier-League,
1,2010-08-21,,Premier League,Matchweek 2,Sat,Home,W,1,0,Sunderland,,"23,624",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/813aa782/West-Bromwich-Albion-Sunderland-August-21-2010-Premier-League,
2,2010-08-29,,Premier League,Matchweek 3,Sun,Away,L,0,1,Liverpool,,"41,194",,4-1-4-1,Lee Probert,https://fbref.com/en/matches/178155a6/Liverpool-West-Bromwich-Albion-August-29-2010-Premier-League,
3,2010-09-11,,Premier League,Matchweek 4,Sat,Home,D,1,1,Tottenham,,"23,642",,4-4-2,Howard Webb,https://fbref.com/en/matches/aa9682a7/West-Bromwich-Albion-Tottenham-Hotspur-September-11-2010-Premier-League,
4,2010-09-18,,Premier League,Matchweek 5,Sat,Home,W,3,1,Birmingham City,,"23,062",,4-4-2,Chris Foy,https://fbref.com/en/matches/39f96e43/West-Bromwich-Albion-Birmingham-City-September-18-2010-Premier-League,
5,2010-09-25,,Premier League,Matchweek 6,Sat,Away,W,3,2,Arsenal,,"60,025",,4-5-1,Michael Oliver,https://fbref.com/en/matches/2b9dadaa/Arsenal-West-Bromwich-Albion-September-25-2010-Premier-League,
6,2010-10-02,,Premier League,Matchweek 7,Sat,Home,D,1,1,Bolton,,"22,846",,4-5-1,Peter Walton,https://fbref.com/en/matches/3c8e9c94/West-Bromwich-Albion-Bolton-Wanderers-October-2-2010-Premier-League,
7,2010-10-16,,Premier League,Matchweek 8,Sat,Away,D,2,2,Manchester Utd,,"75,272",,4-5-1,Mike Jones,https://fbref.com/en/matches/c6dff360/Manchester-United-West-Bromwich-Albion-October-16-2010-Premier-League,
8,2010-10-23,,Premier League,Matchweek 9,Sat,Home,W,2,1,Fulham,,"25,625",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/bdc325a4/West-Bromwich-Albion-Fulham-October-23-2010-Premier-League,
9,2010-11-01,,Premier League,Matchweek 10,Mon,Away,L,1,2,Blackpool,,"15,210",,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/d32e0d12/Blackpool-West-Bromwich-Albion-November-1-2010-Premier-League,
10,2010-11-07,,Premier League,Matchweek 11,Sun,Home,L,0,2,Manchester City,,"23,013",,4-4-1-1,Lee Probert,https://fbref.com/en/matches/a429b282/West-Bromwich-Albion-Manchester-City-November-7-2010-Premier-League,
11,2010-11-10,,Premier League,Matchweek 12,Wed,Away,D,2,2,West Ham,,"33,023",,4-5-1,Mike Dean,https://fbref.com/en/matches/a76632b8/West-Ham-United-West-Bromwich-Albion-November-10-2010-Premier-League,
12,2010-11-13,,Premier League,Matchweek 13,Sat,Away,L,0,1,Wigan Athletic,,"16,085",,4-5-1,Anthony Taylor,https://fbref.com/en/matches/1a0ec060/Wigan-Athletic-West-Bromwich-Albion-November-13-2010-Premier-League,
13,2010-11-20,,Premier League,Matchweek 14,Sat,Home,L,0,3,Stoke City,,"24,164",,4-5-1,Chris Foy,https://fbref.com/en/matches/a3c3cef8/West-Bromwich-Albion-Stoke-City-November-20-2010-Premier-League,
14,2010-11-27,,Premier League,Matchweek 15,Sat,Away,W,4,1,Everton,,"35,237",,4-5-1,Lee Mason,https://fbref.com/en/matches/18e75237/Everton-West-Bromwich-Albion-November-27-2010-Premier-League,
15,2010-12-05,,Premier League,Matchweek 16,Sun,Home,W,3,1,Newcastle Utd,,"23,486",,4-1-4-1,Mike Dean,https://fbref.com/en/matches/25328dfd/West-Bromwich-Albion-Newcastle-United-December-5-2010-Premier-League,
16,2010-12-11,,Premier League,Matchweek 17,Sat,Away,L,1,2,Aston Villa,,"37,015",,4-1-4-1,Mark Halsey,https://fbref.com/en/matches/47c84d2e/Aston-Villa-West-Bromwich-Albion-December-11-2010-Premier-League,
17,2010-12-26,,Premier League,Matchweek 19,Sun,Away,L,0,2,Bolton,,"23,413",,4-5-1,Howard Webb,https://fbref.com/en/matches/27017dde/Bolton-Wanderers-West-Bromwich-Albion-December-26-2010-Premier-League,
18,2010-12-28,,Premier League,Matchweek 20,Tue,Home,L,1,3,Blackburn,,"24,440",,4-5-1,Phil Dowd,https://fbref.com/en/matches/6bccc607/West-Bromwich-Albion-Blackburn-Rovers-December-28-2010-Premier-League,
19,2011-01-01,,Premier League,Matchweek 21,Sat,Home,L,1,2,Manchester Utd,,"25,499",,4-5-1,Chris Foy,https://fbref.com/en/matches/f5d158ef/West-Bromwich-Albion-Manchester-United-January-1-2011-Premier-League,
20,2011-01-04,,Premier League,Matchweek 22,Tue,Away,L,0,3,Fulham,,"23,654",,4-5-1,Martin Atkinson,https://fbref.com/en/matches/e62abc71/Fulham-West-Bromwich-Albion-January-4-2011-Premier-League,
21,2011-01-15,,Premier League,Matchweek 23,Sat,Home,W,3,2,Blackpool,,"25,316",,4-5-1,Stuart Attwell,https://fbref.com/en/matches/1954efb3/West-Bromwich-Albion-Blackpool-January-15-2011-Premier-League,
22,2011-01-23,,Premier League,Matchweek 24,Sun,Away,L,0,2,Blackburn,,"24,057",,4-5-1,Mark Clattenburg,https://fbref.com/en/matches/ea284ad3/Blackburn-Rovers-West-Bromwich-Albion-January-23-2011-Premier-League,
23,2011-02-01,,Premier League,Matchweek 25,Tue,Home,D,2,2,Wigan Athletic,,"25,358",,4-3-3,Phil Dowd,https://fbref.com/en/matches/a91e5663/West-Bromwich-Albion-Wigan-Athletic-February-1-2011-Premier-League,
24,2011-02-05,,Premier League,Matchweek 26,Sat,Away,L,0,3,Manchester City,,"46,846",,4-5-1,Martin Atkinson,https://fbref.com/en/matches/d9e36ac4/Manchester-City-West-Bromwich-Albion-February-5-2011-Premier-League,
25,2011-02-12,,Premier League,Matchweek 27,Sat,Home,D,3,3,West Ham,,"23,916",,4-4-2,Lee Mason,https://fbref.com/en/matches/f10e252d/West-Bromwich-Albion-West-Ham-United-February-12-2011-Premier-League,
26,2011-02-20,,Premier League,Matchweek 18,Sun,Home,D,1,1,Wolves,,"26,170",,4-5-1,Mike Dean,https://fbref.com/en/matches/8bea2124/West-Bromwich-Albion-Wolverhampton-Wanderers-February-20-2011-Premier-League,
27,2011-02-28,,Premier League,Matchweek 28,Mon,Away,D,1,1,Stoke City,,"25,019",,4-5-1,Michael Oliver,https://fbref.com/en/matches/00661a01/Stoke-City-West-Bromwich-Albion-February-28-2011-Premier-League,
28,2011-03-05,,Premier League,Matchweek 29,Sat,Away,W,3,1,Birmingham City,,"27,013",,4-5-1,Mike Jones,https://fbref.com/en/matches/71d6e4c6/Birmingham-City-West-Bromwich-Albion-March-5-2011-Premier-League,
29,2011-03-19,,Premier League,Matchweek 30,Sat,Home,D,2,2,Arsenal,,"25,729",,4-5-1,Stuart Attwell,https://fbref.com/en/matches/76168794/West-Bromwich-Albion-Arsenal-March-19-2011-Premier-League,
30,2011-04-02,,Premier League,Matchweek 31,Sat,Home,W,2,1,Liverpool,,"26,196",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/383a250c/West-Bromwich-Albion-Liverpool-April-2-2011-Premier-League,
31,2011-04-09,,Premier League,Matchweek 32,Sat,Away,W,3,2,Sunderland,,"41,586",,4-4-1-1,Peter Walton,https://fbref.com/en/matches/b6115cc2/Sunderland-West-Bromwich-Albion-April-9-2011-Premier-League,
32,2011-04-16,,Premier League,Matchweek 33,Sat,Home,L,1,3,Chelsea,,"25,163",,4-5-1,Lee Probert,https://fbref.com/en/matches/8afd1169/West-Bromwich-Albion-Chelsea-April-16-2011-Premier-League,
33,2011-04-23,,Premier League,Matchweek 34,Sat,Away,D,2,2,Tottenham,,"36,160",,4-4-2,Stuart Attwell,https://fbref.com/en/matches/9193fcc3/Tottenham-Hotspur-West-Bromwich-Albion-April-23-2011-Premier-League,
34,2011-04-30,,Premier League,Matchweek 35,Sat,Home,W,2,1,Aston Villa,,"25,889",,4-4-1-1,Phil Dowd,https://fbref.com/en/matches/97d6bbdf/West-Bromwich-Albion-Aston-Villa-April-30-2011-Premier-League,
35,2011-05-08,,Premier League,Matchweek 36,Sun,Away,L,1,3,Wolves,,"28,510",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/7799d918/Wolverhampton-Wanderers-West-Bromwich-Albion-May-8-2011-Premier-League,
36,2011-05-14,,Premier League,Matchweek 37,Sat,Home,W,1,0,Everton,,"25,838",,4-4-2,Anthony Taylor,https://fbref.com/en/matches/6ab74805/West-Bromwich-Albion-Everton-May-14-2011-Premier-League,
37,2011-05-22,,Premier League,Matchweek 38,Sun,Away,D,3,3,Newcastle Utd,,"51,678",,4-5-1,Mark Halsey,https://fbref.com/en/matches/2d0c4a78/Newcastle-United-West-Bromwich-Albion-May-22-2011-Premier-League,
