,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Andy Carroll,,eng ENG,FW,22-226,70,0,0,0,,,,1,0,,,,,,,0,,
1,Raul Meireles,,pt POR,MF,28-156,20,0,1,0,,,,0,0,,,,,,,0,,
2,Stewart Downing,,eng ENG,"FW,MF",27-029,90,0,0,0,,,,0,0,,,,,,,0,,
3,Dirk Kuyt,,nl NED,"DF,FW",31-029,70,0,0,0,,,,0,0,,,,,,,0,,
4,Luis Suárez,,uy URU,FW,24-208,20,1,0,0,,,,0,0,,,,,,,0,,
5,Charlie Adam,,sct SCO,MF,25-253,90,0,0,0,,,,0,0,,,,,,,0,,
6,Jordan Henderson,,eng ENG,MF,21-064,90,0,0,0,,,,0,0,,,,,,,0,,
7,Lucas Leiva,,br BRA,MF,24-223,90,0,0,0,,,,1,0,,,,,,,0,,
8,José Enrique,,es ESP,DF,25-209,90,0,0,0,,,,0,0,,,,,,,0,,
9,Daniel Agger,,dk DEN,DF,26-251,90,0,0,0,,,,0,0,,,,,,,0,,
10,Jamie Carragher,,eng ENG,"DF,MF",33-204,90,0,0,0,,,,0,0,,,,,,,0,,
11,Martin Kelly,,eng ENG,"DF,MF",21-115,90,0,0,0,,,,0,0,,,,,,,0,,
12,Pepe Reina,,es ESP,GK,28-354,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,1,1,0,,,,2,0,,,,,,,0,,
