,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2013-08-17,,Premier League,Matchweek 1,Sat,Home,L,1,3,Aston Villa,,"60,003",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/fb2efe3f/Arsenal-Aston-Villa-August-17-2013-Premier-League,
2,2013-08-24,,Premier League,Matchweek 2,Sat,Away,W,3,1,Fulham,,"25,622",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/c081d2e6/Fulham-Arsenal-August-24-2013-Premier-League,
4,2013-09-01,,Premier League,Matchweek 3,Sun,Home,W,1,0,Tottenham,,"60,071",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/12d5977f/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2013-Premier-League,
5,2013-09-14,,Premier League,Matchweek 4,Sat,Away,W,3,1,Sunderland,,"39,055",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/7eae688d/Sunderland-Arsenal-September-14-2013-Premier-League,
7,2013-09-22,,Premier League,Matchweek 5,Sun,Home,W,3,1,Stoke City,,"60,002",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/a6ec34ce/Arsenal-Stoke-City-September-22-2013-Premier-League,
8,2013-09-28,,Premier League,Matchweek 6,Sat,Away,W,2,1,Swansea City,,"20,712",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/f333d2bb/Swansea-City-Arsenal-September-28-2013-Premier-League,
10,2013-10-06,,Premier League,Matchweek 7,Sun,Away,D,1,1,West Brom,,"24,839",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/5174f6eb/West-Bromwich-Albion-Arsenal-October-6-2013-Premier-League,
11,2013-10-19,,Premier League,Matchweek 8,Sat,Home,W,4,1,Norwich City,,"60,009",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/1f10d615/Arsenal-Norwich-City-October-19-2013-Premier-League,
13,2013-10-26,,Premier League,Matchweek 9,Sat,Away,W,2,0,Crystal Palace,,"20,050",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/c828b70a/Crystal-Palace-Arsenal-October-26-2013-Premier-League,
14,2013-11-02,,Premier League,Matchweek 10,Sat,Home,W,2,0,Liverpool,,"60,042",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/43fed5b6/Arsenal-Liverpool-November-2-2013-Premier-League,
16,2013-11-10,,Premier League,Matchweek 11,Sun,Away,L,0,1,Manchester Utd,,"75,138",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/2a66aff8/Manchester-United-Arsenal-November-10-2013-Premier-League,
17,2013-11-23,,Premier League,Matchweek 12,Sat,Home,W,2,0,Southampton,,"60,007",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/bd63ff88/Arsenal-Southampton-November-23-2013-Premier-League,
19,2013-11-30,,Premier League,Matchweek 13,Sat,Away,W,3,0,Cardiff City,,"27,948",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/9d55a8c1/Cardiff-City-Arsenal-November-30-2013-Premier-League,
20,2013-12-04,,Premier League,Matchweek 14,Wed,Home,W,2,0,Hull City,,"60,017",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/e38f973c/Arsenal-Hull-City-December-4-2013-Premier-League,
21,2013-12-08,,Premier League,Matchweek 15,Sun,Home,D,1,1,Everton,,"60,001",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/e4e2bdb3/Arsenal-Everton-December-8-2013-Premier-League,
23,2013-12-14,,Premier League,Matchweek 16,Sat,Away,L,3,6,Manchester City,,"47,229",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/e40003e8/Manchester-City-Arsenal-December-14-2013-Premier-League,
24,2013-12-23,,Premier League,Matchweek 17,Mon,Home,D,0,0,Chelsea,,"60,039",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/6cd70275/North-West-London-Derby-Arsenal-Chelsea-December-23-2013-Premier-League,
25,2013-12-26,,Premier League,Matchweek 18,Thu,Away,W,3,1,West Ham,,"34,977",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/21e542e9/West-Ham-United-Arsenal-December-26-2013-Premier-League,
26,2013-12-29,,Premier League,Matchweek 19,Sun,Away,W,1,0,Newcastle Utd,,"52,161",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/22b911fa/Newcastle-United-Arsenal-December-29-2013-Premier-League,
27,2014-01-01,,Premier League,Matchweek 20,Wed,Home,W,2,0,Cardiff City,,"60,004",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/37d3f712/Arsenal-Cardiff-City-January-1-2014-Premier-League,
28,2014-01-13,,Premier League,Matchweek 21,Mon,Away,W,2,1,Aston Villa,,"36,097",,4-2-3-1,Neil Swarbrick,https://fbref.com/en/matches/ec9149ec/Aston-Villa-Arsenal-January-13-2014-Premier-League,
29,2014-01-18,,Premier League,Matchweek 22,Sat,Home,W,2,0,Fulham,,"60,000",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/db164b79/Arsenal-Fulham-January-18-2014-Premier-League,
30,2014-01-28,,Premier League,Matchweek 23,Tue,Away,D,2,2,Southampton,,"31,284",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/88035eb1/Southampton-Arsenal-January-28-2014-Premier-League,
31,2014-02-02,,Premier League,Matchweek 24,Sun,Home,W,2,0,Crystal Palace,,"60,005",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/9c7b957c/Arsenal-Crystal-Palace-February-2-2014-Premier-League,
