,team,matchweek,Match Report
0,Arsenal-Stats,Matchweek 1,https://fbref.com/en/matches/fc69768c/Arsenal-Crystal-Palace-August-16-2014-Premier-League
1,Arsenal-Stats,Matchweek 2,https://fbref.com/en/matches/25ca45a2/Everton-Arsenal-August-23-2014-Premier-League
2,Arsenal-Stats,Matchweek 3,https://fbref.com/en/matches/dbf1d095/Leicester-City-Arsenal-August-31-2014-Premier-League
3,Arsenal-Stats,Matchweek 4,https://fbref.com/en/matches/73319af5/Arsenal-Manchester-City-September-13-2014-Premier-League
4,Arsenal-Stats,Matchweek 5,https://fbref.com/en/matches/d9045ddc/Aston-Villa-Arsenal-September-20-2014-Premier-League
5,Arsenal-Stats,Matchweek 6,https://fbref.com/en/matches/bf073f62/North-London-Derby-Arsenal-Tottenham-Hotspur-September-27-2014-Premier-League
6,Arsenal-Stats,Matchweek 7,https://fbref.com/en/matches/aaaa261a/North-West-London-Derby-Chelsea-Arsenal-October-5-2014-Premier-League
7,Arsenal-Stats,Matchweek 8,https://fbref.com/en/matches/6a4bbf31/Arsenal-Hull-City-October-18-2014-Premier-League
8,Arsenal-Stats,Matchweek 9,https://fbref.com/en/matches/ec3a5385/Sunderland-Arsenal-October-25-2014-Premier-League
9,Arsenal-Stats,Matchweek 10,https://fbref.com/en/matches/d5456d28/Arsenal-Burnley-November-1-2014-Premier-League
10,Aston-Villa-Stats,Matchweek 10,https://fbref.com/en/matches/c44f4472/Aston-Villa-Tottenham-Hotspur-November-2-2014-Premier-League
11,Burnley-Stats,Matchweek 4,https://fbref.com/en/matches/e75a2027/Crystal-Palace-Burnley-September-13-2014-Premier-League
12,Burnley-Stats,Matchweek 15,https://fbref.com/en/matches/08e323c5/Queens-Park-Rangers-Burnley-December-6-2014-Premier-League
13,Chelsea-Stats,Matchweek 32,https://fbref.com/en/matches/7d4090b7/Queens-Park-Rangers-Chelsea-April-12-2015-Premier-League
14,Crystal-Palace-Stats,Matchweek 4,https://fbref.com/en/matches/e75a2027/Crystal-Palace-Burnley-September-13-2014-Premier-League
15,Hull-City-Stats,Matchweek 8,https://fbref.com/en/matches/6a4bbf31/Arsenal-Hull-City-October-18-2014-Premier-League
16,Newcastle-United-Stats,Matchweek 8,https://fbref.com/en/matches/d477de52/Newcastle-United-Leicester-City-October-18-2014-Premier-League
17,Queens-Park-Rangers-Stats,Matchweek 32,https://fbref.com/en/matches/7d4090b7/Queens-Park-Rangers-Chelsea-April-12-2015-Premier-League
18,Tottenham-Hotspur-Stats,Matchweek 10,https://fbref.com/en/matches/c44f4472/Aston-Villa-Tottenham-Hotspur-November-2-2014-Premier-League
