,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2015-08-08,15:00 ,Premier League,Matchweek 1,Sat,Away,D,2,2,Everton,33,"39,063",Troy Deeney,4-4-1-1,Mike Jones,https://fbref.com/en/matches/ac0bb534/Everton-Watford-August-8-2015-Premier-League,
1,2015-08-15,15:00 ,Premier League,Matchweek 2,Sat,Home,D,0,0,West Brom,64,"20,011",Troy Deeney,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/233481a3/Watford-West-Bromwich-Albion-August-15-2015-Premier-League,
2,2015-08-23,16:00 ,Premier League,Matchweek 3,Sun,Home,D,0,0,Southampton,52,"20,166",Troy Deeney,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/1de110b6/Watford-Southampton-August-23-2015-Premier-League,
4,2015-08-29,15:00 ,Premier League,Matchweek 4,Sat,Away,L,0,2,Manchester City,41,"53,218",Troy Deeney,4-2-4-0,Mark Clattenburg,https://fbref.com/en/matches/f25a110f/Manchester-City-Watford-August-29-2015-Premier-League,
5,2015-09-12,15:00 ,Premier League,Matchweek 5,Sat,Home,W,1,0,Swansea City,39,"20,057",Troy Deeney,4-4-2,Robert Madley,https://fbref.com/en/matches/8c27d5d1/Watford-Swansea-City-September-12-2015-Premier-League,
6,2015-09-19,15:00 ,Premier League,Matchweek 6,Sat,Away,W,2,1,Newcastle Utd,42,"47,806",Troy Deeney,4-4-2,Roger East,https://fbref.com/en/matches/1bf5d906/Newcastle-United-Watford-September-19-2015-Premier-League,
7,2015-09-27,16:00 ,Premier League,Matchweek 7,Sun,Home,L,0,1,Crystal Palace,55,"20,168",Troy Deeney,4-4-2,Anthony Taylor,https://fbref.com/en/matches/be5c73a0/Watford-Crystal-Palace-September-27-2015-Premier-League,
8,2015-10-03,15:00 ,Premier League,Matchweek 8,Sat,Away,D,1,1,Bournemouth,46,"11,187",Troy Deeney,4-4-2,Michael Oliver,https://fbref.com/en/matches/cd5bc2d2/Bournemouth-Watford-October-3-2015-Premier-League,
9,2015-10-17,17:30 ,Premier League,Matchweek 9,Sat,Home,L,0,3,Arsenal,33,"20,721",Troy Deeney,4-4-2,Mike Jones,https://fbref.com/en/matches/483b03ee/Watford-Arsenal-October-17-2015-Premier-League,
10,2015-10-24,15:00 ,Premier League,Matchweek 10,Sat,Away,W,2,0,Stoke City,34,"27,587",Troy Deeney,4-4-2,Martin Atkinson,https://fbref.com/en/matches/7b36b616/Stoke-City-Watford-October-24-2015-Premier-League,
