,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2017-08-12,15:00 ,Premier League,Matchweek 1,Sat,Away,L,0,1,West Brom,0.5,1.3,69,"25,011",Simon Francis,4-4-1-1,Robert Madley,https://fbref.com/en/matches/684f704a/West-Bromwich-Albion-Bournemouth-August-12-2017-Premier-League,
1,2017-08-19,15:00 ,Premier League,Matchweek 2,Sat,Home,L,0,2,Watford,1.0,2.4,55,"10,501",Andrew Surman,4-4-1-1,Roger East,https://fbref.com/en/matches/21fec287/Bournemouth-Watford-August-19-2017-Premier-League,
3,2017-08-26,12:30 ,Premier League,Matchweek 3,Sat,Home,L,1,2,Manchester City,0.5,1.4,30,"10,419",Andrew Surman,5-3-2,Mike Dean,https://fbref.com/en/matches/77beb1ff/Bournemouth-Manchester-City-August-26-2017-Premier-League,
4,2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,L,0,3,Arsenal,0.6,2.2,42,"59,262",Steve Cook,3-5-1-1,Anthony Taylor,https://fbref.com/en/matches/2fab7d59/Arsenal-Bournemouth-September-9-2017-Premier-League,
5,2017-09-15,20:00 ,Premier League,Matchweek 5,Fri,Home,W,2,1,Brighton,1.2,0.9,62,"10,369",Simon Francis,4-4-1-1,Craig Pawson,https://fbref.com/en/matches/00836893/Bournemouth-Brighton-and-Hove-Albion-September-15-2017-Premier-League,
7,2017-09-23,15:00 ,Premier League,Matchweek 6,Sat,Away,L,1,2,Everton,0.3,2.0,49,"38,133",Simon Francis,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/d255555f/Everton-Bournemouth-September-23-2017-Premier-League,
8,2017-09-30,15:00 ,Premier League,Matchweek 7,Sat,Home,D,0,0,Leicester City,1.4,0.6,61,"10,444",Simon Francis,4-4-1-1,Graham Scott,https://fbref.com/en/matches/c4ef65e4/Bournemouth-Leicester-City-September-30-2017-Premier-League,
9,2017-10-14,15:00 ,Premier League,Matchweek 8,Sat,Away,L,0,1,Tottenham,0.2,1.8,28,"73,502",Simon Francis,3-5-1-1,Robert Madley,https://fbref.com/en/matches/0e98ac46/Tottenham-Hotspur-Bournemouth-October-14-2017-Premier-League,
10,2017-10-21,15:00 ,Premier League,Matchweek 9,Sat,Away,W,2,1,Stoke City,1.1,1.2,47,"29,500",Simon Francis,4-4-1-1,Lee Probert,https://fbref.com/en/matches/7da1fc42/Stoke-City-Bournemouth-October-21-2017-Premier-League,
12,2017-10-28,17:30 ,Premier League,Matchweek 10,Sat,Home,L,0,1,Chelsea,0.5,1.6,42,"10,998",Simon Francis,3-4-1-2,Craig Pawson,https://fbref.com/en/matches/6eb8787a/Bournemouth-Chelsea-October-28-2017-Premier-League,
13,2017-11-04,15:00 ,Premier League,Matchweek 11,Sat,Away,W,1,0,Newcastle Utd,1.5,0.7,52,"52,237",Simon Francis,4-4-2,Paul Tierney,https://fbref.com/en/matches/b2dc70f2/Newcastle-United-Bournemouth-November-4-2017-Premier-League,
14,2017-11-18,15:00 ,Premier League,Matchweek 12,Sat,Home,W,4,0,Huddersfield,0.7,1.2,31,"10,879",Simon Francis,4-4-1-1,Lee Probert,https://fbref.com/en/matches/5e8ab70a/Bournemouth-Huddersfield-Town-November-18-2017-Premier-League,
15,2017-11-25,15:00 ,Premier League,Matchweek 13,Sat,Away,D,0,0,Swansea City,0.4,0.9,51,"20,228",Andrew Surman,4-4-1-1,Stuart Attwell,https://fbref.com/en/matches/bc90e5b8/Swansea-City-Bournemouth-November-25-2017-Premier-League,
16,2017-11-29,19:45 ,Premier League,Matchweek 14,Wed,Home,L,1,2,Burnley,1.2,1.1,62,"10,302",Simon Francis,4-4-1-1,Roger East,https://fbref.com/en/matches/0f0e0f7f/Bournemouth-Burnley-November-29-2017-Premier-League,
17,2017-12-03,13:30 ,Premier League,Matchweek 15,Sun,Home,D,1,1,Southampton,0.9,1.5,49,"10,764",Simon Francis,4-4-1-1,Jonathan Moss,https://fbref.com/en/matches/3a114119/Bournemouth-Southampton-December-3-2017-Premier-League,
18,2017-12-09,15:00 ,Premier League,Matchweek 16,Sat,Away,D,2,2,Crystal Palace,0.7,3.9,55,"24,823",Simon Francis,4-4-1-1,Kevin Friend,https://fbref.com/en/matches/4aa97fef/Crystal-Palace-Bournemouth-December-9-2017-Premier-League,
19,2017-12-13,20:00 ,Premier League,Matchweek 17,Wed,Away,L,0,1,Manchester Utd,0.8,1.1,43,"74,798",Simon Francis,4-4-1-1,Graham Scott,https://fbref.com/en/matches/eaf5939d/Manchester-United-Bournemouth-December-13-2017-Premier-League,
20,2017-12-17,16:30 ,Premier League,Matchweek 18,Sun,Home,L,0,4,Liverpool,0.6,2.5,44,"10,780",Simon Francis,4-4-1-1,Andre Marriner,https://fbref.com/en/matches/790f1ce3/Bournemouth-Liverpool-December-17-2017-Premier-League,
22,2017-12-23,15:00 ,Premier League,Matchweek 19,Sat,Away,L,0,4,Manchester City,0.4,1.5,22,"54,270",Andrew Surman,3-4-3,Mike Jones,https://fbref.com/en/matches/8b61dc89/Manchester-City-Bournemouth-December-23-2017-Premier-League,
23,2017-12-26,15:00 ,Premier League,Matchweek 20,Tue,Home,D,3,3,West Ham,2.9,1.7,55,"10,596",Simon Francis,4-4-1-1,Stuart Attwell,https://fbref.com/en/matches/0abc466b/Bournemouth-West-Ham-United-December-26-2017-Premier-League,
24,2017-12-30,15:00 ,Premier League,Matchweek 21,Sat,Home,W,2,1,Everton,1.5,0.5,47,"10,497",Simon Francis,4-4-1-1,Lee Probert,https://fbref.com/en/matches/8788e1c3/Bournemouth-Everton-December-30-2017-Premier-League,
25,2018-01-01,12:30 ,Premier League,Matchweek 22,Mon,Away,D,2,2,Brighton,1.5,2.4,51,"30,152",Simon Francis,4-4-2,Michael Oliver,https://fbref.com/en/matches/42fceb48/Brighton-and-Hove-Albion-Bournemouth-January-1-2018-Premier-League,
27,2018-01-14,13:30 ,Premier League,Matchweek 23,Sun,Home,W,2,1,Arsenal,0.8,1.1,41,"10,836",Simon Francis,3-4-3,Kevin Friend,https://fbref.com/en/matches/085a3a26/Bournemouth-Arsenal-January-14-2018-Premier-League,
29,2018-01-20,15:00 ,Premier League,Matchweek 24,Sat,Away,D,1,1,West Ham,0.5,0.8,52,"56,948",Simon Francis,3-4-3,Martin Atkinson,https://fbref.com/en/matches/bbd82d91/West-Ham-United-Bournemouth-January-20-2018-Premier-League,
30,2018-01-31,19:45 ,Premier League,Matchweek 25,Wed,Away,W,3,0,Chelsea,1.1,1.2,35,"41,464",Simon Francis,3-4-3,Lee Probert,https://fbref.com/en/matches/8bffc3ba/Chelsea-Bournemouth-January-31-2018-Premier-League,
31,2018-02-03,15:00 ,Premier League,Matchweek 26,Sat,Home,W,2,1,Stoke City,1.7,0.7,57,"10,614",Simon Francis,3-4-3,Paul Tierney,https://fbref.com/en/matches/3ad5f648/Bournemouth-Stoke-City-February-3-2018-Premier-League,
32,2018-02-11,12:00 ,Premier League,Matchweek 27,Sun,Away,L,1,4,Huddersfield,0.3,2.2,50,"23,823",Simon Francis,3-4-3,Michael Oliver,https://fbref.com/en/matches/5406ef33/Huddersfield-Town-Bournemouth-February-11-2018-Premier-League,
33,2018-02-24,15:00 ,Premier League,Matchweek 28,Sat,Home,D,2,2,Newcastle Utd,1.7,3.0,63,"10,808",Simon Francis,4-4-1-1,Roger East,https://fbref.com/en/matches/c3df70b9/Bournemouth-Newcastle-United-February-24-2018-Premier-League,
34,2018-03-03,15:00 ,Premier League,Matchweek 29,Sat,Away,D,1,1,Leicester City,1.4,2.7,45,"31,384",Simon Francis,4-4-1-1,Lee Probert,https://fbref.com/en/matches/586cc946/Leicester-City-Bournemouth-March-3-2018-Premier-League,
35,2018-03-11,16:00 ,Premier League,Matchweek 30,Sun,Home,L,1,4,Tottenham,1.2,2.4,37,"10,623",Simon Francis,4-4-1-1,Mike Dean,https://fbref.com/en/matches/80a47654/Bournemouth-Tottenham-Hotspur-March-11-2018-Premier-League,
36,2018-03-17,15:00 ,Premier League,Matchweek 31,Sat,Home,W,2,1,West Brom,0.7,1.6,60,"10,242",Simon Francis,4-4-1-1,Graham Scott,https://fbref.com/en/matches/134dc51c/Bournemouth-West-Bromwich-Albion-March-17-2018-Premier-League,
