,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Eddie Nketiah,30.0,eng ENG,FW,21-200,64,0,1,0,0,1,1,0,0,19,1,0,0,0.0,0.0,0.3,2,1,12,13,92.3,1,10,1,1,1
1,David Luiz,23.0,br BRA,CB,33-238,26,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
2,Pierre-Emerick Aubameyang,14.0,ga GAB,"LW,FW",31-181,90,1,0,0,0,1,1,0,0,37,0,1,1,0.3,0.3,0.1,1,0,17,27,63.0,2,23,4,0,0
3,Nicolas Pépé,19.0,ci CIV,"RW,RM",25-201,84,0,0,0,0,3,1,0,0,33,2,0,0,0.2,0.2,0.0,0,0,13,23,56.5,1,17,1,1,1
4,Cédric Soares,17.0,pt POR,RB,29-107,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
5,Bukayo Saka,7.0,eng ENG,LM,19-102,90,0,0,0,0,1,1,0,0,45,0,2,0,0.0,0.0,0.0,6,1,20,32,62.5,2,25,4,4,2
6,Dani Ceballos,8.0,es ESP,CM,24-131,66,0,0,0,0,2,0,1,0,48,1,2,0,0.0,0.0,0.1,2,0,35,39,89.7,13,27,3,2,2
7,Joe Willock,28.0,eng ENG,CM,21-118,24,0,0,0,0,0,0,0,0,9,0,1,2,0.0,0.0,0.0,2,0,3,4,75.0,0,5,0,2,1
8,Mohamed Elneny,25.0,eg EGY,CM,28-158,90,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,1,0,37,41,90.2,5,25,0,1,0
9,Ainsley Maitland-Niles,15.0,eng ENG,"RM,RB",23-109,90,0,0,0,0,0,0,0,0,65,2,5,3,0.0,0.0,0.0,0,0,37,51,72.5,4,35,1,3,1
10,Kieran Tierney,3.0,sct SCO,"CB,LB",23-194,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,2,0,29,40,72.5,5,22,1,0,0
11,Gabriel Dos Santos,6.0,br BRA,CB,22-363,61,0,0,0,0,0,0,2,1,54,2,2,1,0.0,0.0,0.0,1,0,33,41,80.5,2,31,0,0,0
12,Rob Holding,16.0,eng ENG,CB,25-087,90,0,0,0,0,1,0,0,0,47,0,2,2,0.0,0.0,0.0,1,0,31,37,83.8,3,26,0,0,0
13,Bernd Leno,1.0,de GER,GK,28-287,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,18,26,69.2,0,13,0,0,0
14,14 Players,,,,,961,1,1,0,0,9,4,3,1,483,8,17,11,0.6,0.6,0.6,18,2,287,377,76.1,38,262,15,14,8
