,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Alexandre Lacazette,9.0,fr FRA,FW,29-164,64,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
1,Eddie Nketiah,30.0,eng ENG,FW,21-162,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Pierre-Emerick Aubameyang,14.0,ga GAB,LW,31-143,90,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0
3,Willian,12.0,br BRA,RW,32-091,64,2,1,1,0,1,0,1,0.0,1,0,0,0,0,2,0,0
4,Nicolas Pépé,19.0,ci CIV,RW,25-163,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Bukayo Saka,7.0,eng ENG,LM,19-064,90,1,0,0,1,0,1,1,100.0,0,2,2,0,0,1,0,0
6,Mohamed Elneny,25.0,eg EGY,CM,28-120,90,0,0,0,0,0,0,5,0.0,5,1,1,0,0,0,0,0
7,Thomas Partey,18.0,gh GHA,CM,27-148,45,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
8,Dani Ceballos,8.0,es ESP,CM,24-093,45,2,0,2,0,0,0,1,0.0,1,2,1,1,0,2,0,0
9,Héctor Bellerín,2.0,es ESP,RM,25-234,90,0,0,0,0,0,0,2,0.0,2,2,2,0,2,2,3,0
10,Kieran Tierney,3.0,sct SCO,CB,23-156,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0
11,Gabriel Dos Santos,6.0,br BRA,CB,22-325,90,0,0,0,0,0,0,1,0.0,1,2,2,0,4,4,3,0
12,Rob Holding,16.0,eng ENG,CB,25-049,90,1,1,1,0,0,1,2,50.0,1,2,1,1,1,2,3,0
13,Bernd Leno,1.0,de GER,GK,28-249,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,7,2,4,2,1,3,15,20.0,12,17,10,7,8,15,11,0
