,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Ollie Watkins,11.0,eng ENG,"FW,LW",25-137,90,1,0,0,0,1,0,0,,0,1,0,1,0,1,2,0
1,Anwar El Ghazi,21.0,nl NED,"LW,RW",26-013,87,2,1,0,2,0,1,5,20.0,4,0,0,0,0,2,1,0
2,Wesley Moraes,9.0,br BRA,FW,24-171,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Bertrand Traoré,15.0,bf BFA,RW,25-252,63,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
4,Jack Grealish,10.0,eng ENG,"LW,AM",25-248,27,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0
5,Jacob Ramsey,41.0,eng ENG,"LM,DM",19-353,84,1,1,0,1,0,0,1,0.0,1,2,1,1,0,1,1,0
6,Keinan Davis,39.0,eng ENG,"RW,DM",23-092,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Douglas Luiz,6.0,br BRA,"CM,DM",23-007,90,1,1,0,1,0,0,1,0.0,1,4,2,2,2,3,1,0
8,John McGinn,7.0,sct SCO,"RM,AM,DM",26-210,90,3,2,2,0,1,1,4,25.0,3,2,1,1,2,5,1,0
9,Matt Targett,18.0,eng ENG,LB,25-240,90,1,0,0,1,0,0,0,,0,3,2,1,0,1,0,0
10,Kortney Hause,30.0,eng ENG,CB,25-304,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,9,0
11,Ezri Konsa,4.0,eng ENG,CB,23-205,90,1,0,1,0,0,0,0,,0,4,4,0,0,1,8,0
12,Ahmed Elmohamady,27.0,eg EGY,RB,33-249,90,1,1,1,0,0,0,1,0.0,1,0,0,0,4,5,6,0
13,Emiliano Martínez,26.0,ar ARG,GK,28-256,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
14,14 Players,,,,,990,13,7,6,5,2,3,14,21.4,11,19,12,7,8,21,30,0
