,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Danny Welbeck,18.0,eng ENG,FW,30-031,82,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0
1,Pascal Groß,13.0,de GER,FW,29-195,8,14,14,0,0,0,1,1,0,0,0,0,0,11,0,0
2,Neal Maupay,9.0,fr FRA,AM,24-135,89,24,21,2,0,0,0,1,0,0,0,0,0,17,1,0
3,Alireza Jahanbakhsh,16.0,ir IRN,AM,27-138,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Leandro Trossard,11.0,be BEL,AM,26-023,90,47,43,4,1,0,0,2,0,3,0,2,0,38,0,0
5,Adam Lallana,14.0,eng ENG,CM,32-231,45,47,46,1,0,0,0,0,1,0,0,0,0,40,0,1
6,Steven Alzate,17.0,co COL,CM,22-110,45,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0
7,Yves Bissouma,8.0,ml MLI,CM,24-119,90,72,71,1,1,0,1,0,0,0,0,0,0,61,0,2
8,Solly March,20.0,eng ENG,WB,26-160,90,61,49,12,1,0,1,6,10,1,0,1,0,45,0,2
9,Ben White,3.0,eng ENG,WB,23-080,90,39,34,5,0,0,0,1,5,0,0,0,0,29,0,2
10,Dan Burn,33.0,eng ENG,CB,28-232,90,68,67,1,0,0,2,0,1,0,0,0,0,59,0,1
11,Lewis Dunk,5.0,eng ENG,CB,29-036,90,82,80,2,1,0,1,0,1,0,0,0,0,76,0,0
12,Adam Webster,4.0,eng ENG,CB,25-358,90,80,76,4,2,0,2,1,2,0,0,0,0,63,0,0
13,Robert Sánchez,26.0,es ESP,GK,23-039,90,48,39,9,2,0,1,0,0,0,0,0,0,30,0,0
14,14 Players,,,,,990,613,570,42,8,0,9,13,20,4,0,3,0,494,1,8
