,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jay Rodriguez,19.0,eng ENG,FW,31-129,74,20,20,0,0,0,0,0,0,0,0,0,0,18,0,1
1,Ashley Barnes,10.0,eng ENG,FW,31-036,16,5,5,0,0,0,0,1,0,0,0,0,0,3,0,1
2,Chris Wood,9.0,nz NZL,FW,28-364,90,26,26,0,0,0,0,0,0,0,0,0,0,18,0,1
3,Dwight McNeil,11.0,eng ENG,LM,21-013,90,40,34,6,0,1,2,10,1,5,5,0,0,30,0,1
4,Josh Brownhill,8.0,eng ENG,CM,24-352,90,39,39,0,0,1,0,0,0,0,0,0,0,33,0,0
5,Ashley Westwood,18.0,eng ENG,CM,30-248,90,65,56,9,4,0,0,6,0,3,3,0,0,51,0,0
6,Robbie Brady,12.0,ie IRL,RM,28-326,85,46,44,2,0,1,1,5,2,0,0,0,0,34,0,2
7,Josh Benson,41.0,eng ENG,RM,21-000,5,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
8,Charlie Taylor,3.0,eng ENG,LB,27-078,90,49,40,9,0,0,0,2,9,0,0,0,0,38,0,0
9,Ben Mee,6.0,eng ENG,CB,31-075,90,40,36,4,4,0,0,0,0,0,0,0,0,30,0,1
10,James Tarkowski,5.0,eng ENG,CB,28-016,90,28,28,0,0,0,1,0,0,0,0,0,0,19,0,0
11,Matthew Lowton,2.0,eng ENG,RB,31-179,90,58,49,9,0,0,1,2,9,0,0,0,0,45,0,0
12,Nick Pope,1.0,eng ENG,GK,28-230,90,28,19,9,4,0,0,0,0,0,0,0,0,15,0,0
13,13 Players,,,,,990,449,401,48,12,3,5,27,21,8,8,0,0,338,0,7
