,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Matěj Vydra,27.0,cz CZE,FW,28-295,90,11,13,84.6,106,18,6,7,85.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1
1,Jay Rodriguez,19.0,eng ENG,FW,31-206,80,12,15,80.0,136,35,11,13,84.6,1,1,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,1
2,Joel Mumbongo,46.0,se SWE,FW,22-042,10,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
3,Dwight McNeil,11.0,eng ENG,LM,21-090,90,23,34,67.6,439,105,8,11,72.7,10,12,83.3,4,9,44.4,0,0.1,0.1,1,5,1,1,5
4,Ashley Westwood,18.0,eng ENG,CM,30-325,90,55,81,67.9,1087,260,17,21,81.0,29,35,82.9,8,18,44.4,0,0.1,0.2,2,9,2,2,5
5,Jack Cork,4.0,eng ENG,CM,31-240,90,35,45,77.8,511,118,19,22,86.4,10,13,76.9,3,4,75.0,0,0.0,0.1,0,5,0,0,1
6,Josh Brownhill,8.0,eng ENG,RM,25-063,90,31,46,67.4,418,118,21,25,84.0,8,12,66.7,2,5,40.0,0,0.0,0.0,1,3,2,1,4
7,Charlie Taylor,3.0,eng ENG,LB,27-155,90,44,54,81.5,619,222,25,29,86.2,16,17,94.1,1,5,20.0,0,0.0,0.0,0,3,1,0,2
8,Ben Mee,6.0,eng ENG,CB,31-152,90,43,57,75.4,817,318,19,23,82.6,20,24,83.3,4,10,40.0,0,0.0,0.0,0,5,0,0,3
9,James Tarkowski,5.0,eng ENG,CB,28-093,90,44,52,84.6,809,302,18,20,90.0,20,21,95.2,5,8,62.5,0,0.0,0.0,0,2,0,0,3
10,Matthew Lowton,2.0,eng ENG,RB,31-256,90,47,65,72.3,574,231,31,35,88.6,13,18,72.2,1,7,14.3,0,0.3,0.1,1,4,2,1,3
11,Nick Pope,1.0,eng ENG,GK,28-307,90,18,30,60.0,459,333,2,2,100.0,11,11,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0
12,12 Players,,,,,990,364,493,73.8,5985,2060,178,209,85.2,139,165,84.2,34,86,39.5,0,0.4,0.6,5,39,8,5,28
