,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Chris Wood,9.0,nz NZL,FW,29-089,90,0,0,0,0,1,2,0,0,0,0,0,0,0,3,8,27.3
1,Matěj Vydra,27.0,cz CZE,FW,28-309,85,0,0,0,0,0,0,0,0,1,0,0,0,5,1,9,10.0
2,Jay Rodriguez,19.0,eng ENG,FW,31-220,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
3,Dwight McNeil,11.0,eng ENG,LM,21-104,90,0,0,0,0,1,0,5,0,0,0,0,0,12,0,1,0.0
4,Josh Brownhill,8.0,eng ENG,CM,25-077,90,0,0,0,0,1,0,1,0,1,0,0,0,5,1,1,50.0
5,Ashley Westwood,18.0,eng ENG,CM,30-339,90,0,0,0,2,0,0,4,2,0,0,0,0,12,1,1,50.0
6,Jóhann Berg Guðmundsson,7.0,is ISL,RM,30-130,67,0,0,0,0,0,0,1,2,2,0,0,0,2,3,1,75.0
7,Robbie Brady,12.0,ie IRL,RM,29-051,23,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
8,Charlie Taylor,3.0,eng ENG,LB,27-169,62,0,0,0,0,4,0,1,1,3,0,0,0,1,2,0,100.0
9,Erik Pieters,23.0,nl NED,LB,32-211,28,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,
10,Ben Mee,6.0,eng ENG,CB,31-166,90,0,0,0,1,0,0,0,2,1,0,0,0,9,4,2,66.7
11,James Tarkowski,5.0,eng ENG,CB,28-107,90,0,0,0,0,0,0,0,1,2,0,0,0,3,8,2,80.0
12,Matthew Lowton,2.0,eng ENG,RB,31-270,90,0,0,0,0,0,0,3,3,0,0,0,0,8,3,0,100.0
13,Nick Pope,1.0,eng ENG,GK,28-321,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,1,0,0,5,10,2,16,11,11,0,0,0,62,26,26,50.0
