,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Chris Wood,9.0,nz NZL,FW,28-317,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Ashley Barnes,10.0,eng ENG,FW,30-355,76,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
2,Jay Rodriguez,19.0,eng ENG,FW,31-082,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Dwight McNeil,11.0,eng ENG,LM,20-332,90,2,1,0,2,0,1,2,50.0,1,2,0,2,0,2,2,0
4,Josh Brownhill,8.0,eng ENG,CM,24-305,90,2,2,0,2,0,1,1,100.0,0,0,0,0,1,3,1,0
5,Ashley Westwood,18.0,eng ENG,CM,30-201,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,4,0
6,Jóhann Berg Guðmundsson,7.0,is ISL,RM,29-358,68,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
7,Robbie Brady,12.0,ie IRL,RM,28-279,22,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
8,Charlie Taylor,3.0,eng ENG,LB,27-031,90,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,4,0
9,James Tarkowski,5.0,eng ENG,CB,27-335,90,4,3,4,0,0,0,0,,0,2,1,1,0,4,3,0
10,Kevin Long,28.0,ie IRL,CB,30-062,90,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,2,0
11,Erik Pieters,23.0,nl NED,RB,32-073,90,2,2,1,1,0,0,0,,0,2,0,2,3,5,1,0
12,Nick Pope,1.0,eng ENG,GK,28-183,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
13,13 Players,,,,,990,13,11,8,5,0,5,7,71.4,2,10,2,8,6,19,20,0
