,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Tammy Abraham,9.0,eng ENG,FW,23-141,45,8,7,1,0,0,0,1,0,0,0,0,0,5,0,1
1,Callum Hudson-Odoi,20.0,eng ENG,AM,20-105,30,11,11,0,0,0,0,1,0,0,0,0,0,7,0,2
2,Hakim Ziyech,22.0,ma MAR,AM,27-338,15,7,6,1,0,0,0,1,0,1,0,1,0,3,0,1
3,Timo Werner,11.0,de GER,"FW,AM",24-351,90,27,27,0,0,0,0,0,0,0,0,0,0,18,0,0
4,Mason Mount,19.0,eng ENG,AM,22-041,90,50,43,6,0,0,0,5,1,4,0,2,0,36,1,4
5,Mateo Kovačić,17.0,hr CRO,CM,26-290,75,76,74,1,1,0,1,0,0,0,0,0,0,66,1,0
6,Jorginho,5.0,it ITA,CM,29-062,15,8,5,3,3,0,0,0,0,0,0,0,0,6,0,0
7,N'Golo Kanté,7.0,fr FRA,CM,29-328,90,81,80,1,1,0,1,1,0,0,0,0,0,64,0,2
8,Marcos Alonso,3.0,es ESP,WB,30-054,90,58,50,8,1,0,0,5,7,0,0,0,0,44,0,3
9,Reece James,24.0,eng ENG,WB,21-074,90,69,64,5,0,0,1,1,4,1,0,0,0,57,0,1
10,Antonio Rüdiger,2.0,de GER,CB,27-354,90,107,105,0,0,0,1,0,0,0,0,0,0,97,2,0
11,Kurt Zouma,15.0,fr FRA,CB,26-116,90,104,104,0,0,0,0,0,0,0,0,0,0,97,0,0
12,César Azpilicueta,28.0,es ESP,CB,31-176,90,125,112,13,1,0,0,0,12,0,0,0,0,110,0,0
13,Edouard Mendy,16.0,sn SEN,GK,28-356,90,43,37,6,1,0,0,0,0,0,0,0,0,40,0,0
14,14 Players,,,,,990,774,725,45,8,0,4,15,24,6,0,3,0,650,4,14
