,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Dominic Calvert-Lewin,9.0,eng ENG,FW,23-285,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
1,Anthony Gordon,24.0,eng ENG,LW,19-306,54,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,2,0
2,Bernard,20.0,br BRA,LW,28-109,36,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
3,Alex Iwobi,17.0,ng NGA,RW,24-237,90,1,0,0,1,0,0,1,0.0,1,2,0,2,2,3,0,0
4,Gylfi Sigurðsson,10.0,is ISL,AM,31-109,90,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0
5,Tom Davies,26.0,eng ENG,DM,22-179,73,1,1,1,0,0,0,1,0.0,1,3,1,2,0,1,0,0
6,André Gomes,21.0,pt POR,DM,27-149,17,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
7,Abdoulaye Doucouré,16.0,ml MLI,DM,27-360,90,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0
8,Ben Godfrey,22.0,eng ENG,LB,22-346,90,1,1,1,0,0,1,1,100.0,0,2,1,1,0,1,1,0
9,Michael Keane,5.0,eng ENG,CB,27-350,65,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0
10,Séamus Coleman,23.0,ie IRL,RB,32-076,25,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
11,Yerry Mina,13.0,co COL,CB,26-094,90,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,8,0
12,Mason Holgate,4.0,eng ENG,"RB,CB",24-065,90,3,3,1,2,0,0,0,,0,0,0,0,2,5,6,0
13,Jordan Pickford,1.0,eng ENG,GK,26-294,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
14,14 Players,,,,,990,13,9,8,5,0,3,10,30.0,7,15,4,11,8,21,24,0
