,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Richarlison,7.0,br BRA,FW,23-337,90,13,23,56.5,248,62,6,9,66.7,6,10,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,3
1,James Rodríguez,19.0,co COL,"FW,CM",29-274,90,31,42,73.8,570,244,18,20,90.0,5,6,83.3,7,11,63.6,0,0.0,0.0,1,5,1,0,3
2,Gylfi Sigurðsson,10.0,is ISL,CM,31-216,90,31,41,75.6,598,164,13,15,86.7,12,14,85.7,5,8,62.5,0,0.0,0.0,0,4,1,0,4
3,Mason Holgate,4.0,eng ENG,"CM,CB",24-172,90,32,38,84.2,643,155,8,11,72.7,20,22,90.9,4,5,80.0,0,0.0,0.0,0,4,1,0,3
4,Tom Davies,26.0,eng ENG,CM,22-286,87,31,36,86.1,506,79,14,16,87.5,14,14,100.0,2,3,66.7,0,0.0,0.0,0,2,0,0,3
5,Nathan Broadhead,34.0,wls WAL,FW,23-007,3,2,2,100.0,14,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
6,Lucas Digne,12.0,fr FRA,LB,27-266,90,35,56,62.5,630,194,19,23,82.6,12,20,60.0,3,6,50.0,0,0.0,0.0,0,2,0,0,3
7,Michael Keane,5.0,eng ENG,CB,28-091,90,41,47,87.2,909,400,8,12,66.7,25,26,96.2,8,8,100.0,0,0.0,0.0,0,2,0,0,1
8,Yerry Mina,13.0,co COL,CB,26-201,57,32,36,88.9,524,198,11,12,91.7,20,22,90.9,0,1,0.0,0,0.0,0.0,0,0,0,0,0
9,Alex Iwobi,17.0,ng NGA,"FW,CM",24-344,33,7,7,100.0,127,24,3,3,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
10,Ben Godfrey,22.0,eng ENG,CB,23-087,90,34,52,65.4,591,225,13,17,76.5,20,24,83.3,1,6,16.7,0,0.0,0.0,0,2,0,0,2
11,Séamus Coleman,23.0,ie IRL,RB,32-183,90,24,31,77.4,428,112,12,12,100.0,9,13,69.2,2,3,66.7,0,0.2,0.1,3,0,2,1,3
12,Robin Olsen,33.0,se SWE,GK,31-094,90,21,33,63.6,724,599,1,1,100.0,8,8,100.0,12,24,50.0,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,990,334,444,75.2,6512,2458,127,152,83.6,153,181,84.5,46,77,59.7,0,0.2,0.2,4,23,5,1,26
