,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Aleksandar Mitrović,9.0,rs SRB,FW,26-052,90,25,25,0,0,0,0,1,0,0,0,0,0,18,0,0
1,Ademola Lookman,19.0,ng NGA,LW,23-018,90,36,31,4,1,0,0,0,0,3,0,0,0,29,1,1
2,Bobby Reid,14.0,jm JAM,RW,27-279,82,37,36,1,0,0,0,2,0,0,0,0,0,31,0,1
3,Ruben Loftus-Cheek,15.0,eng ENG,RW,24-289,8,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
4,Tom Cairney,10.0,sct SCO,AM,29-292,90,67,63,4,1,0,0,8,0,2,1,1,0,54,0,1
5,Harrison Reed,21.0,eng ENG,DM,25-285,90,76,73,3,3,0,0,1,0,0,0,0,0,72,0,0
6,Andre-Frank Zambo Anguissa,29.0,cm CMR,DM,24-357,89,37,37,0,0,0,0,1,0,0,0,0,0,32,0,1
7,Ivan Cavaleiro,17.0,pt POR,DM,27-020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Antonee Robinson,33.0,us USA,LB,23-091,90,59,49,10,0,0,0,4,10,0,0,0,0,38,0,2
9,Tosin Adarabioyo,16.0,eng ENG,CB,23-044,90,46,45,1,1,0,0,0,0,0,0,0,0,38,0,0
10,Joachim Andersen,5.0,dk DEN,CB,24-160,90,46,45,1,1,0,0,0,0,0,0,0,0,42,0,0
11,Ola Aina,34.0,ng NGA,RB,24-030,90,42,35,7,0,0,0,2,7,0,0,0,0,32,0,1
12,Alphonse Areola,1.0,fr FRA,GK,27-254,90,26,11,14,3,0,0,0,0,0,0,0,0,14,1,0
13,13 Players,,,,,990,500,453,45,10,0,0,19,17,5,1,1,0,402,2,7
