,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Patrick Bamford,9.0,eng ENG,FW,27-195,76,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,5,0
1,Mateusz Klich,43.0,pl POL,FW,30-279,14,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
2,Jack Harrison,22.0,eng ENG,LM,24-119,90,5,5,1,4,0,3,5,60.0,2,2,0,2,0,5,0,0
3,Tyler Roberts,11.0,wls WAL,CM,22-066,89,3,3,0,3,0,2,3,66.7,1,1,0,1,1,4,3,0
4,Robin Koch,5.0,de GER,CM,24-245,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Stuart Dallas,15.0,nir NIR,CM,29-334,90,3,2,2,1,0,2,6,33.3,4,3,1,2,2,5,1,0
6,Raphinha,18.0,br BRA,RM,24-095,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
7,Kalvin Phillips,23.0,eng ENG,DM,25-107,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,4,0
8,Ezgjan Alioski,10.0,mk MKD,LB,29-035,90,4,2,3,1,0,4,4,100.0,0,0,0,0,1,5,4,0
9,Pascal Struijk,21.0,nl NED,CB,21-220,90,2,1,0,1,1,0,0,,0,1,1,0,0,2,8,0
10,Diego Llorente,14.0,es ESP,CB,27-215,90,4,1,2,2,0,1,3,33.3,2,0,0,0,1,5,3,0
11,Luke Ayling,2.0,eng ENG,RB,29-206,90,1,1,1,0,0,0,1,0.0,1,1,0,1,3,4,7,0
12,Illan Meslier,1.0,fr FRA,GK,21-017,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,25,16,9,14,2,13,26,50.0,13,8,2,6,9,34,37,0
