,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jamie Vardy,9.0,eng ENG,FW,33-340,90,17,0,0,4,13,4,17,0,0,,0,,6,22,4,0,0,0,1,0,17,6
1,Harvey Barnes,15.0,eng ENG,LW,23-007,90,35,0,4,18,14,2,35,5,4,80.0,1,20.0,24,219,146,5,5,1,2,4,31,4
2,Cengiz Ünder,19.0,tr TUR,RW,23-155,61,35,0,0,16,20,1,35,6,3,50.0,3,50.0,18,152,54,2,2,0,3,3,22,5
3,Ayoze Pérez,17.0,es ESP,RW,27-140,29,18,0,0,7,11,6,18,0,0,,0,,10,80,42,3,1,1,2,0,13,3
4,James Maddison,10.0,eng ENG,"AM,DM",24-023,90,71,0,7,38,29,1,71,1,0,0.0,1,100.0,35,248,102,5,5,0,1,0,52,1
5,Nampalys Mendy,24.0,sn SEN,DM,28-176,72,61,1,14,43,5,0,61,1,1,100.0,0,0.0,41,217,93,1,1,0,1,1,51,0
6,Kelechi Iheanacho,14.0,ng NGA,AM,24-074,18,8,0,1,4,4,0,8,1,1,100.0,0,0.0,7,67,61,2,1,0,0,0,6,1
7,Youri Tielemans,8.0,be BEL,DM,23-223,90,60,0,10,39,12,1,60,1,1,100.0,0,0.0,26,132,54,3,0,0,0,0,46,1
8,Christian Fuchs,28.0,at AUT,LB,34-253,90,92,6,24,58,12,1,92,0,0,,0,,44,93,39,0,1,0,0,0,61,1
9,Wilfred Ndidi,25.0,ng NGA,CB,24-000,90,99,10,49,50,2,0,99,0,0,,0,,52,251,88,1,1,0,0,0,65,0
10,Wesley Fofana,3.0,fr FRA,CB,19-365,90,106,14,55,51,2,1,106,1,1,100.0,0,0.0,69,512,347,3,2,0,1,0,70,0
11,James Justin,2.0,eng ENG,RB,22-297,90,72,1,13,34,25,1,72,0,0,,0,,21,140,69,5,0,0,1,0,41,8
12,Kasper Schmeichel,1.0,dk DEN,GK,34-041,90,21,17,21,0,0,0,21,0,0,,0,,12,70,50,0,0,0,0,0,10,0
13,13 Players,,,,,990,695,49,198,362,149,18,695,16,11,68.8,5,31.3,365,2203,1149,30,19,2,12,8,485,30
