,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jamie Vardy,9.0,eng ENG,FW,34-090,90,0,0,0,1,0,1,2,0,0,0,0,0,0,6,3,66.7
1,Kelechi Iheanacho,14.0,ng NGA,FW,24-190,90,0,0,0,0,3,0,1,0,0,0,0,0,3,1,2,33.3
2,Dennis Praet,26.0,be BEL,"CM,AM",26-332,58,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0.0
3,Marc Albrighton,11.0,eng ENG,AM,31-144,32,0,0,0,1,0,0,12,0,0,0,0,0,2,0,0,
4,Wilfred Ndidi,25.0,ng NGA,CM,24-116,90,1,0,0,3,1,0,0,3,0,0,0,0,9,4,1,80.0
5,Youri Tielemans,8.0,be BEL,CM,23-339,90,0,0,0,0,2,0,9,1,1,0,0,0,10,2,0,100.0
6,Timothy Castagne,27.0,be BEL,"CB,WB",25-127,90,0,0,0,0,0,0,3,1,0,0,0,0,3,1,1,50.0
7,Ricardo Pereira,21.0,pt POR,WB,27-187,90,1,0,0,1,0,0,3,0,1,0,0,0,3,1,1,50.0
8,Wesley Fofana,3.0,fr FRA,CB,20-115,90,1,0,0,5,1,0,0,3,5,0,0,0,9,10,5,66.7
9,Jonny Evans,6.0,nir NIR,CB,33-098,90,0,0,0,2,0,0,0,3,1,0,0,0,9,1,0,100.0
10,Daniel Amartey,18.0,gh GHA,CB,26-111,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
11,Luke Thomas,33.0,eng ENG,WB,19-305,45,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,25.0
12,Kasper Schmeichel,1.0,dk DEN,GK,34-157,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
13,13 Players,,,,,990,3,0,0,13,7,1,31,12,8,0,0,0,60,28,17,62.2
