,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Roberto Firmino,9.0,br BRA,FW,29-057,90,31,29,1,0,0,0,1,1,0,0,0,0,25,1,0
1,Diogo Jota,20.0,pt POR,"LW,RW",23-360,90,34,33,1,0,0,0,1,1,0,0,0,0,27,0,1
2,Mohamed Salah,11.0,eg EGY,RW,28-166,63,21,21,0,0,0,0,0,0,0,0,0,0,17,0,1
3,Sadio Mané,10.0,sn SEN,LW,28-232,27,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0
4,James Milner,7.0,eng ENG,"LM,RB",34-329,73,70,59,11,1,0,0,4,7,2,1,1,0,59,0,2
5,Curtis Jones,17.0,eng ENG,RB,19-303,17,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
6,Georginio Wijnaldum,5.0,nl NED,"LM,CM",30-017,90,35,34,1,1,0,0,0,0,0,0,0,0,29,0,1
7,Takumi Minamino,18.0,jp JPN,RM,25-317,90,51,50,1,0,0,1,1,0,0,0,0,0,41,0,0
8,Andrew Robertson,26.0,sct SCO,LB,26-262,90,106,87,18,1,0,2,3,16,1,0,0,0,83,1,3
9,Fabinho,3.0,br BRA,CB,27-036,90,61,61,0,0,0,0,0,0,0,0,0,0,54,0,0
10,Nathaniel Phillips,47.0,eng ENG,CB,23-252,90,55,53,2,2,0,0,0,0,0,0,0,0,44,0,1
11,Neco Williams,76.0,wls WAL,RB,19-229,45,30,27,3,0,0,0,1,3,0,0,0,0,25,0,0
12,Jordan Henderson,14.0,eng ENG,CM,30-164,45,35,34,1,1,0,0,1,0,0,0,0,0,26,0,0
13,Alisson,1.0,br BRA,GK,28-057,90,36,21,15,4,0,0,0,0,0,0,0,0,27,0,0
14,14 Players,,,,,990,576,519,55,10,0,3,12,29,3,1,1,0,463,2,9
