,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Roberto Firmino,9.0,br BRA,FW,29-149,90,0,0,0,1,1,0,0,1,0,0,0,0,7,1,3,25.0
1,Sadio Mané,10.0,sn SEN,LW,28-324,90,0,0,0,0,2,1,0,0,1,0,0,0,5,2,7,22.2
2,Mohamed Salah,11.0,eg EGY,RW,28-258,90,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
3,Curtis Jones,17.0,eng ENG,LM,20-029,79,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0.0
4,Naby Keïta,8.0,gn GUI,LM,26-018,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
5,Georginio Wijnaldum,5.0,nl NED,CM,30-109,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
6,Thiago Alcántara,6.0,es ESP,RM,29-323,75,0,0,0,2,1,0,0,0,1,0,0,0,2,1,1,50.0
7,James Milner,7.0,eng ENG,RM,35-055,15,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
8,Andrew Robertson,26.0,sct SCO,LB,26-354,90,0,0,0,0,0,0,8,0,1,0,0,0,6,1,0,100.0
9,Ozan Kabak,19.0,tr TUR,CB,20-340,90,0,0,0,2,1,0,0,0,2,0,0,0,5,6,6,50.0
10,Nathaniel Phillips,47.0,eng ENG,CB,23-344,90,0,0,0,2,1,0,0,0,1,0,0,0,3,7,5,58.3
11,Trent Alexander-Arnold,66.0,eng ENG,RB,22-144,90,0,0,0,1,2,0,5,2,2,0,0,0,14,0,1,0.0
12,Adrián,13.0,es ESP,GK,34-056,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
13,13 Players,,,,,990,0,0,0,9,9,1,14,5,8,0,0,0,54,20,25,44.4
