,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Bernardo Silva,20.0,pt POR,FW,26-163,90,47,52,90.4,649,88,27,28,96.4,11,13,84.6,4,6,66.7,0,0.0,0.0,0,5,0,0,5
1,Phil Foden,47.0,eng ENG,LW,20-237,90,47,62,75.8,577,192,36,41,87.8,10,16,62.5,0,3,0.0,0,0.0,0.3,0,1,3,0,6
2,Raheem Sterling,7.0,eng ENG,RW,26-043,71,21,26,80.8,235,72,13,14,92.9,2,3,66.7,2,2,100.0,0,0.0,0.1,0,1,0,0,0
3,Riyad Mahrez,26.0,dz ALG,"FW,MF",29-334,19,7,9,77.8,123,51,2,4,50.0,3,3,100.0,1,1,100.0,0,0.0,0.3,0,0,0,0,0
4,İlkay Gündoğan,8.0,de GER,LM,30-088,90,59,63,93.7,978,210,21,23,91.3,26,26,100.0,6,7,85.7,0,0.0,0.1,0,6,3,0,11
5,Rodri,16.0,es ESP,CM,24-212,90,80,91,87.9,1286,311,36,40,90.0,33,37,89.2,6,8,75.0,1,0.0,0.4,0,6,3,1,8
6,Kevin De Bruyne,17.0,be BEL,RM,29-206,58,34,47,72.3,603,126,11,13,84.6,15,16,93.8,5,12,41.7,0,0.0,0.1,0,2,2,0,8
7,Gabriel Jesus,9.0,br BRA,"FW,MF",23-292,32,5,6,83.3,39,3,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
8,João Cancelo,27.0,pt POR,LB,26-238,90,77,96,80.2,1177,408,44,50,88.0,24,30,80.0,6,10,60.0,0,0.0,0.1,0,7,4,0,10
9,Rúben Dias,3.0,pt POR,CB,23-251,90,55,61,90.2,1010,371,19,22,86.4,32,34,94.1,3,4,75.0,0,0.0,0.0,0,3,0,0,5
10,John Stones,5.0,eng ENG,CB,26-237,90,62,68,91.2,1101,488,25,27,92.6,31,32,96.9,5,7,71.4,0,0.0,0.0,0,6,0,0,6
11,Kyle Walker,2.0,eng ENG,RB,30-237,27,18,22,81.8,325,75,8,9,88.9,6,7,85.7,4,5,80.0,0,0.0,0.0,0,0,0,0,1
12,Oleksandr Zinchenko,11.0,ua UKR,"DF,MF",24-036,63,42,51,82.4,611,221,21,22,95.5,15,19,78.9,2,3,66.7,0,0.0,0.0,0,2,2,0,7
13,Ederson,31.0,br BRA,GK,27-156,90,20,23,87.0,489,305,3,3,100.0,12,12,100.0,5,8,62.5,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,574,677,84.8,9203,2921,269,299,90.0,220,248,88.7,49,76,64.5,1,0.0,1.7,0,39,17,1,67
