,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Gabriel Jesus,9.0,br BRA,FW,23-320,90,45,43,2,0,1,0,0,0,0,0,0,0,37,0,1
1,Raheem Sterling,7.0,eng ENG,LW,26-071,79,38,37,1,0,0,0,1,1,0,0,0,0,32,0,3
2,Kevin De Bruyne,17.0,be BEL,RM,29-234,11,21,20,1,0,0,0,0,1,0,0,0,0,19,0,1
3,Riyad Mahrez,26.0,dz ALG,RW,29-362,90,60,58,2,0,0,0,8,0,2,1,0,0,47,0,1
4,Phil Foden,47.0,eng ENG,"LM,LW",20-265,90,60,52,8,0,0,0,8,0,8,4,3,0,50,0,1
5,Rodri,16.0,es ESP,CM,24-240,89,101,99,2,2,2,2,1,0,0,0,0,0,89,0,0
6,Fernandinho,25.0,br BRA,CM,35-289,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
7,Bernardo Silva,20.0,pt POR,"RM,LM",26-191,90,65,64,1,0,0,0,2,1,0,0,0,0,61,0,0
8,João Cancelo,27.0,pt POR,LB,26-266,90,101,91,10,4,0,0,1,6,0,0,0,0,90,0,1
9,Aymeric Laporte,14.0,es ESP,CB,26-266,90,95,94,1,0,0,0,0,1,0,0,0,0,85,0,0
10,Rúben Dias,3.0,pt POR,CB,23-279,90,85,85,0,0,1,1,0,0,0,0,0,0,80,0,0
11,Kyle Walker,2.0,eng ENG,RB,30-265,90,102,90,12,2,0,0,2,10,0,0,0,0,90,0,2
12,Ederson,31.0,br BRA,GK,27-184,90,29,27,2,0,0,0,0,0,0,0,0,0,25,0,0
13,13 Players,,,,,990,804,762,42,8,4,3,23,20,10,5,3,0,707,0,10
