,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Riyad Mahrez,26.0,dz ALG,"FW,RM,RW",29-340,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
1,Phil Foden,47.0,eng ENG,LW,20-243,51,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0
2,Ferrán Torres,21.0,es ESP,LW,20-332,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Raheem Sterling,7.0,eng ENG,"RW,FW",26-049,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
4,İlkay Gündoğan,8.0,de GER,LM,30-094,51,1,1,0,0,1,0,0,,0,0,0,0,2,3,0,0
5,Aymeric Laporte,14.0,es ESP,LB,26-244,39,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
6,Rodri,16.0,es ESP,CM,24-218,90,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0
7,Bernardo Silva,20.0,pt POR,RM,26-169,59,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Gabriel Jesus,9.0,br BRA,FW,23-298,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Oleksandr Zinchenko,11.0,ua UKR,"LB,LM",24-042,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0
10,Rúben Dias,3.0,pt POR,CB,23-257,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
11,John Stones,5.0,eng ENG,CB,26-243,90,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,2,0
12,João Cancelo,27.0,pt POR,RB,26-244,90,2,1,0,2,0,1,2,50.0,1,1,0,1,0,2,1,0
13,Ederson,31.0,br BRA,GK,27-162,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
14,14 Players,,,,,990,8,5,2,5,1,3,6,50.0,3,5,1,4,4,12,15,0
