,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Gabriel Jesus,9.0,br BRA,FW,23-338,69,0,0,0,2,3,0,0,0,1,0,1,0,1,0,0,
1,Phil Foden,47.0,eng ENG,LW,20-283,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0
2,Raheem Sterling,7.0,eng ENG,"LW,FW",26-089,90,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
3,Riyad Mahrez,26.0,dz ALG,RW,30-014,90,0,0,0,0,2,0,0,1,1,0,0,0,3,0,0,
4,Kevin De Bruyne,17.0,be BEL,"AM,RM",29-252,90,0,0,0,2,0,0,10,0,0,0,0,0,6,0,0,
5,İlkay Gündoğan,8.0,de GER,"DM,LM",30-134,90,0,0,0,0,2,0,1,2,1,0,0,0,7,1,0,100.0
6,Rodri,16.0,es ESP,"DM,CM",24-258,90,0,0,0,0,1,0,0,2,2,0,0,0,12,1,0,100.0
7,Oleksandr Zinchenko,11.0,ua UKR,LB,24-082,90,0,0,0,1,0,0,5,2,0,0,0,0,7,1,0,100.0
8,Rúben Dias,3.0,pt POR,CB,23-297,90,0,0,0,1,0,0,1,4,1,0,0,0,3,2,2,50.0
9,John Stones,5.0,eng ENG,CB,26-283,90,0,0,0,0,1,0,0,2,0,0,0,0,5,4,0,100.0
10,João Cancelo,27.0,pt POR,RB,26-284,64,0,0,0,3,0,0,1,0,2,0,0,0,4,1,0,100.0
11,Kyle Walker,2.0,eng ENG,RB,30-283,26,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
12,Ederson,31.0,br BRA,GK,27-202,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
13,13 Players,,,,,990,0,0,0,9,10,0,21,14,8,0,1,0,56,10,3,76.9
