,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Edinson Cavani,7.0,uy URU,FW,34-093,86,13,17,76.5,177,48,9,12,75.0,2,3,66.7,1,1,100.0,0,0.3,0.0,1,1,1,0,1
1,Donny van de Beek,34.0,nl NED,LW,24-030,4,2,3,66.7,23,13,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,1
2,Paul Pogba,6.0,fr FRA,"LW,DM",28-064,90,48,57,84.2,785,207,21,24,87.5,21,22,95.5,3,5,60.0,0,0.1,0.0,2,8,2,0,6
3,Mason Greenwood,11.0,eng ENG,RW,19-229,82,25,27,92.6,355,78,16,16,100.0,6,6,100.0,2,3,66.7,0,0.0,0.1,0,1,2,0,3
4,Amad Diallo,19.0,ci CIV,RW,18-311,8,4,4,100.0,77,30,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
5,Bruno Fernandes,18.0,pt POR,AM,26-252,90,44,68,64.7,699,112,25,31,80.6,17,21,81.0,2,8,25.0,1,0.0,0.1,1,5,1,0,10
6,Fred,17.0,br BRA,DM,28-074,90,72,83,86.7,1335,401,29,33,87.9,35,37,94.6,8,10,80.0,0,0.0,0.0,0,8,0,0,8
7,Scott McTominay,39.0,sct SCO,DM,24-161,61,43,49,87.8,723,228,22,26,84.6,14,14,100.0,6,8,75.0,0,0.0,0.0,1,7,0,0,6
8,Marcus Rashford,10.0,eng ENG,"LW,FW",23-199,29,12,14,85.7,186,26,6,8,75.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1
9,Luke Shaw,23.0,eng ENG,LB,25-310,90,51,70,72.9,799,264,25,29,86.2,22,29,75.9,1,6,16.7,0,0.0,0.0,0,3,0,0,5
10,Axel Tuanzebe,38.0,eng ENG,CB,23-185,90,48,53,90.6,893,263,14,15,93.3,24,27,88.9,7,8,87.5,0,0.0,0.0,0,1,0,0,2
11,Victor Lindelöf,2.0,se SWE,CB,26-305,90,51,58,87.9,1028,278,15,17,88.2,28,29,96.6,8,12,66.7,0,0.0,0.0,0,4,0,0,4
12,Aaron Wan-Bissaka,29.0,eng ENG,RB,23-173,90,59,65,90.8,861,261,36,39,92.3,19,22,86.4,4,4,100.0,0,0.2,0.3,2,3,2,2,2
13,David de Gea,1.0,es ESP,GK,30-192,90,17,21,81.0,529,362,0,0,,11,11,100.0,6,10,60.0,0,0.0,0.0,0,2,0,0,0
14,14 Players,,,,,990,489,589,83.0,8470,2571,222,254,87.4,203,226,89.8,50,77,64.9,1,0.6,0.7,7,46,8,2,50
