,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Joelinton,9.0,br BRA,FW,24-124,73,23,30,76.7,276,75,14,18,77.8,8,9,88.9,0,1,0.0,0,0.0,0.0,0,0,0,0,2
1,Dwight Gayle,12.0,eng ENG,FW,30-060,17,4,4,100.0,44,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
2,Callum Wilson,13.0,eng ENG,FW,28-293,90,10,18,55.6,114,22,6,9,66.7,2,6,33.3,0,0,,1,0.8,0.0,3,2,0,0,2
3,Ryan Fraser,21.0,sct SCO,LM,26-296,74,17,25,68.0,281,180,8,10,80.0,3,7,42.9,3,4,75.0,1,0.2,0.1,3,2,1,1,2
4,Miguel Almirón,24.0,py PAR,LM,26-310,16,4,7,57.1,36,16,3,4,75.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,1
5,Isaac Hayden,14.0,eng ENG,CM,25-269,90,16,24,66.7,245,106,7,9,77.8,9,9,100.0,0,3,0.0,0,0.0,0.0,0,2,0,0,2
6,Sean Longstaff,36.0,eng ENG,CM,23-047,90,21,31,67.7,337,170,9,10,90.0,10,12,83.3,2,9,22.2,0,0.0,0.0,1,3,0,0,2
7,Jeff Hendrick,16.0,ie IRL,RM,28-320,61,11,13,84.6,138,29,6,6,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
8,Emil Krafth,17.0,se SWE,RB,26-136,29,8,9,88.9,106,81,6,6,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,1
9,Jamal Lewis,15.0,nir NIR,LB,22-326,90,16,24,66.7,221,155,10,13,76.9,4,5,80.0,1,3,33.3,0,0.0,0.1,0,2,0,0,1
10,Ciaran Clark,2.0,ie IRL,CB,31-081,90,16,19,84.2,266,123,10,11,90.9,4,5,80.0,2,3,66.7,0,0.0,0.0,0,1,1,0,4
11,Federico Fernández,18.0,ar ARG,CB,31-299,90,11,17,64.7,234,188,5,5,100.0,4,4,100.0,2,7,28.6,0,0.0,0.0,0,1,0,0,0
12,Jacob Murphy,23.0,eng ENG,"RB,RM",25-296,90,11,26,42.3,175,101,5,8,62.5,4,10,40.0,1,5,20.0,0,0.6,0.2,2,0,4,2,2
13,Karl Darlow,26.0,eng ENG,GK,30-069,90,12,30,40.0,630,617,0,0,,2,2,100.0,10,27,37.0,0,0.0,0.0,0,2,0,0,0
14,14 Players,,,,,990,180,277,65.0,3103,1863,91,111,82.0,56,78,71.8,21,63,33.3,2,1.5,0.6,9,16,6,3,19
