,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,David McGoldrick,17.0,ie IRL,"FW,AM",33-097,57,14,25,56.0,165,37,9,13,69.2,5,9,55.6,0,1,0.0,0,0.0,0.0,1,0,1,0,3
1,Lys Mousset,11.0,fr FRA,AM,25-026,33,1,3,33.3,5,0,1,1,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
2,Rhian Brewster,24.0,eng ENG,FW,20-339,67,5,10,50.0,71,16,2,7,28.6,3,3,100.0,0,0,,0,0.3,0.2,1,0,0,0,1
3,Billy Sharp,10.0,eng ENG,FW,35-029,23,2,3,66.7,40,9,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
4,John Fleck,4.0,sct SCO,CM,29-194,90,40,54,74.1,724,301,18,19,94.7,12,17,70.6,7,9,77.8,0,0.2,0.3,2,3,1,0,9
5,Oliver Norwood,16.0,nir NIR,CM,29-328,45,10,18,55.6,181,67,5,6,83.3,4,7,57.1,1,5,20.0,0,0.0,0.0,0,0,1,0,1
6,Oliver McBurnie,9.0,sct SCO,FW,24-275,45,18,29,62.1,273,46,12,16,75.0,2,7,28.6,3,3,100.0,0,0.0,0.0,0,2,1,0,4
7,John Lundstram,7.0,eng ENG,CM,27-016,90,42,53,79.2,798,239,17,19,89.5,19,22,86.4,6,11,54.5,0,0.0,0.1,1,3,2,1,2
8,Enda Stevens,3.0,ie IRL,WB,30-240,90,37,58,63.8,657,353,15,19,78.9,20,26,76.9,2,10,20.0,0,0.1,0.1,1,2,1,0,5
9,Jayden Bogle,20.0,eng ENG,WB,20-222,90,20,26,76.9,294,86,12,15,80.0,7,8,87.5,0,1,0.0,0,0.0,0.0,0,0,0,0,2
10,Kean Bryan,29.0,eng ENG,CB,24-125,90,43,60,71.7,770,400,19,22,86.4,19,22,86.4,3,10,30.0,0,0.0,0.0,0,4,1,0,4
11,Ethan Ampadu,22.0,wls WAL,CB,20-173,90,30,38,78.9,658,184,8,10,80.0,17,19,89.5,5,7,71.4,0,0.0,0.0,0,3,0,0,2
12,George Baldock,2.0,gr GRE,CB,27-362,90,33,42,78.6,573,192,15,16,93.8,16,19,84.2,2,6,33.3,0,0.0,0.0,0,3,0,0,2
13,Aaron Ramsdale,1.0,eng ENG,GK,22-296,90,15,26,57.7,628,496,2,2,100.0,3,3,100.0,10,21,47.6,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,310,445,69.7,5837,2426,135,165,81.8,129,165,78.2,39,85,45.9,0,0.7,0.8,6,21,8,1,36
