,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Daniel Jebbison,38.0,eng ENG,FW,17-276,90,29,0,2,16,11,3,29,2,1,50.0,1,50.0,13,37,13,0,0,0,2,2,15,3
1,Ben Osborn,23.0,eng ENG,LW,26-284,90,43,1,5,15,24,4,43,3,1,33.3,2,66.7,30,172,56,2,1,1,1,2,32,5
2,David McGoldrick,17.0,ie IRL,RW,33-168,90,69,1,16,34,22,2,69,7,4,57.1,3,42.9,44,240,112,2,0,0,6,5,53,4
3,Enda Stevens,3.0,ie IRL,LM,30-311,90,44,2,6,20,18,2,44,1,1,100.0,0,0.0,21,177,128,4,2,1,1,0,27,5
4,John Fleck,4.0,sct SCO,CM,29-265,90,52,0,7,27,18,0,52,2,0,0.0,2,100.0,20,133,64,2,1,0,0,0,33,1
5,Oliver Norwood,16.0,nir NIR,CM,30-034,90,64,4,17,40,7,0,64,0,0,,0,,24,93,41,0,0,0,0,0,40,0
6,George Baldock,2.0,gr GRE,RM,28-068,90,55,3,20,15,20,0,55,2,0,0.0,2,100.0,24,104,38,1,1,0,2,1,28,3
7,Jack Robinson,19.0,eng ENG,CB,27-257,90,53,8,23,23,7,1,53,2,2,100.0,0,0.0,23,91,43,1,0,1,0,1,27,2
8,John Egan,12.0,ie IRL,CB,28-208,90,40,11,22,15,3,3,40,0,0,,0,,14,79,4,0,0,0,0,0,21,0
9,Chris Basham,6.0,eng ENG,CB,32-300,90,51,7,26,20,6,0,51,0,0,,0,,23,196,144,2,2,0,1,0,29,1
10,Aaron Ramsdale,1.0,eng ENG,GK,23-002,90,39,36,39,0,0,0,39,0,0,,0,,22,153,107,0,0,0,0,0,13,0
11,11 Players,,,,,990,539,73,183,225,136,15,539,19,9,47.4,10,52.6,258,1475,750,14,7,3,13,11,318,24
