,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Daniel Jebbison,38.0,eng ENG,FW,17-283,78,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
1,Rhian Brewster,24.0,eng ENG,FW,21-052,12,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
2,Ben Osborn,23.0,eng ENG,AM,26-291,82,27,27,0,0,0,1,4,0,0,0,0,0,15,0,2
3,Phil Jagielka,15.0,eng ENG,CB,38-279,8,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
4,David McGoldrick,17.0,ie IRL,AM,33-175,90,32,32,0,0,0,0,1,0,0,0,0,0,25,0,0
5,John Fleck,4.0,sct SCO,"CM,AM",29-272,90,27,24,3,0,0,0,2,0,2,0,2,0,22,0,0
6,Oliver Norwood,16.0,nir NIR,CM,30-041,90,51,43,7,1,0,0,5,0,6,0,4,0,37,1,0
7,Enda Stevens,3.0,ie IRL,WB,30-318,90,49,43,5,0,0,0,5,5,0,0,0,0,33,1,0
8,George Baldock,2.0,gr GRE,WB,28-075,90,42,33,9,0,0,0,1,9,0,0,0,0,29,0,0
9,Jack Robinson,19.0,eng ENG,CB,27-264,90,39,39,0,0,0,0,1,0,0,0,0,0,32,0,1
10,John Egan,12.0,ie IRL,CB,28-215,90,33,33,0,0,0,1,0,0,0,0,0,0,19,0,0
11,Chris Basham,6.0,eng ENG,"CB,CM",32-307,90,44,44,0,0,0,0,0,0,0,0,0,0,31,0,2
12,Aaron Ramsdale,1.0,eng ENG,GK,23-009,90,42,28,14,1,0,0,0,0,0,0,0,0,18,0,0
13,13 Players,,,,,990,400,360,38,2,0,2,20,14,8,0,6,0,268,2,5
