,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Che Adams,10.0,sct SCO,FW,24-159,81,0,0,0,0,2,0,0,0,23,2,0,0,0.4,0.4,0.0,2,0,8,12,66.7,2,15,1,1,0
1,Dan Nlundulu,40.0,eng ENG,FW,21-318,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
2,Danny Ings,9.0,eng ENG,FW,28-149,40,0,0,0,0,2,0,0,0,13,3,0,1,0.2,0.2,0.0,0,0,6,8,75.0,2,10,1,1,1
3,Nathan Tella,23.0,ng NGA,FW,21-167,50,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,5,0,0,0
4,Moussa Djenepo,12.0,ml MLI,LM,22-187,58,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,1,0,8,12,66.7,2,12,1,2,1
5,Nathan Redmond,11.0,eng ENG,LM,26-288,32,0,0,0,0,1,1,0,0,24,2,0,0,0.0,0.0,0.0,1,0,14,19,73.7,2,20,2,2,1
6,Oriol Romeu,6.0,es ESP,CM,29-086,90,0,0,0,0,1,0,1,0,62,3,2,0,0.0,0.0,0.1,2,0,43,54,79.6,3,42,2,2,1
7,James Ward-Prowse,8.0,eng ENG,CM,26-048,90,0,0,0,0,0,0,1,0,87,3,0,1,0.0,0.0,0.1,2,0,71,83,85.5,5,55,0,0,0
8,Theo Walcott,32.0,eng ENG,RM,31-278,90,0,0,0,0,1,1,0,0,41,3,1,1,0.0,0.0,0.2,3,0,20,29,69.0,2,27,5,1,0
9,Ryan Bertrand,3.0,eng ENG,LB,31-136,90,0,0,0,0,0,0,0,0,46,2,0,1,0.0,0.0,0.0,1,0,28,36,77.8,1,14,3,2,1
10,Jannik Vestergaard,4.0,dk DEN,CB,28-138,90,0,0,0,0,2,1,0,0,101,4,2,3,0.1,0.1,0.0,1,0,77,89,86.5,3,71,0,2,2
11,Jan Bednarek,35.0,pl POL,CB,24-251,90,0,0,0,0,0,0,0,0,93,0,2,2,0.0,0.0,0.0,0,0,76,88,86.4,3,79,0,0,0
12,Kyle Walker-Peters,2.0,eng ENG,RB,23-250,90,0,0,0,0,0,0,0,0,74,3,3,4,0.0,0.0,0.0,1,0,53,63,84.1,3,48,6,2,2
13,Alex McCarthy,1.0,eng ENG,GK,31-016,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,28,47,59.6,0,31,0,0,0
14,14 Players,,,,,990,0,0,0,0,9,3,2,0,644,26,10,14,0.7,0.7,0.4,14,0,437,549,79.6,28,430,21,15,9
