,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Shane Long,7.0,ie IRL,FW,33-339,89,24,1,2,7,15,1,24,1,1,100.0,0,0.0,13,62,19,0,1,0,2,1,18,3
1,Dan Nlundulu,40.0,eng ENG,FW,21-325,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
2,Che Adams,10.0,sct SCO,FW,24-166,90,29,3,5,9,15,1,29,0,0,,0,,11,43,6,0,0,0,5,1,20,7
3,Theo Walcott,32.0,eng ENG,LM,31-285,90,28,0,7,6,15,2,28,7,1,14.3,6,85.7,13,117,57,1,3,0,5,2,13,2
4,Ibrahima Diallo,27.0,fr FRA,CM,21-293,90,50,1,5,39,6,0,50,3,1,33.3,2,66.7,26,185,84,0,1,0,2,2,35,2
5,James Ward-Prowse,8.0,eng ENG,CM,26-055,90,72,4,22,43,8,0,72,0,0,,0,,31,187,71,1,0,0,1,0,37,0
6,Stuart Armstrong,17.0,sct SCO,RM,28-271,89,46,2,7,25,15,1,46,7,4,57.1,3,42.9,23,146,57,3,2,0,6,2,27,6
7,Moussa Djenepo,12.0,ml MLI,"LM,RM",22-194,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
8,Ryan Bertrand,3.0,eng ENG,LB,31-143,90,67,1,13,40,15,0,67,1,0,0.0,1,100.0,30,181,78,1,0,0,1,0,32,3
9,Jack Stephens,5.0,eng ENG,CB,26-334,90,76,2,29,46,1,1,76,0,0,,0,,30,155,80,0,0,0,1,0,47,0
10,Jan Bednarek,35.0,pl POL,CB,24-258,90,76,14,41,35,0,0,76,0,0,,0,,33,280,123,1,0,0,0,0,42,0
11,Kyle Walker-Peters,2.0,eng ENG,RB,23-257,90,63,6,24,29,12,1,63,3,2,66.7,1,33.3,22,196,101,3,4,0,1,3,24,1
12,Alex McCarthy,1.0,eng ENG,GK,31-023,90,36,27,35,1,0,0,36,0,0,,0,,17,151,88,0,0,0,0,0,15,0
13,13 Players,,,,,990,567,61,190,280,102,7,567,22,9,40.9,13,59.1,249,1703,764,10,11,0,24,11,310,24
