,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Che Adams,10.0,sct SCO,FW,24-133,90,19,19,0,0,2,1,0,0,0,0,0,0,15,0,0
1,Theo Walcott,32.0,eng ENG,"FW,LM",31-252,90,22,21,1,0,0,0,1,0,1,0,0,0,16,0,1
2,Moussa Djenepo,12.0,ml MLI,LM,22-161,78,31,31,0,0,0,0,0,0,0,0,0,0,26,0,0
3,Shane Long,7.0,ie IRL,FW,33-306,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Oriol Romeu,6.0,es ESP,CM,29-060,90,68,66,1,1,0,0,0,0,0,0,0,0,52,1,0
5,James Ward-Prowse,8.0,eng ENG,CM,26-022,90,80,70,10,5,0,1,6,0,3,1,2,0,66,0,0
6,Stuart Armstrong,17.0,sct SCO,RM,28-238,89,38,37,1,1,1,0,1,0,0,0,0,0,32,0,2
7,Ibrahima Diallo,27.0,fr FRA,RM,21-260,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Ryan Bertrand,3.0,eng ENG,LB,31-110,90,51,37,14,1,0,0,3,13,0,0,0,0,38,0,0
9,Jannik Vestergaard,4.0,dk DEN,CB,28-112,90,54,53,1,1,0,0,0,0,0,0,0,0,45,0,1
10,Jan Bednarek,35.0,pl POL,CB,24-225,90,81,80,1,1,0,2,0,0,0,0,0,0,71,0,0
11,Kyle Walker-Peters,2.0,eng ENG,RB,23-224,90,66,60,6,2,0,0,0,4,0,0,0,0,59,0,1
12,Alex McCarthy,1.0,eng ENG,GK,30-356,90,36,24,12,4,0,0,0,0,0,0,0,0,22,0,0
13,13 Players,,,,,990,549,501,47,16,3,4,12,17,4,1,2,0,442,1,6
