,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Harry Kane,10.0,eng ENG,FW,27-200,90,1,0,0,1,0,0,0,,0,1,0,1,1,2,3,0
1,Son Heung-min,7.0,kr KOR,LW,28-220,90,4,1,2,1,1,3,6,50.0,3,1,0,1,0,4,0,0
2,Érik Lamela,11.0,ar ARG,RW,28-346,71,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,0,0
3,Gareth Bale,9.0,wls WAL,RW,31-212,19,2,0,2,0,0,1,3,33.3,2,0,0,0,1,3,0,0
4,Lucas Moura,27.0,br BRA,AM,28-184,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,Moussa Sissoko,17.0,fr FRA,DM,31-181,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
6,Pierre Højbjerg,5.0,dk DEN,DM,25-192,90,5,2,2,3,0,3,7,42.9,4,1,0,1,3,8,1,0
7,Tanguy Ndombele,28.0,fr FRA,"DM,AM",24-047,63,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
8,Dele Alli,20.0,eng ENG,AM,24-308,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Ben Davies,33.0,wls WAL,LB,27-295,90,2,2,1,0,1,1,7,14.3,6,1,0,1,0,2,4,0
10,Eric Dier,15.0,eng ENG,CB,27-029,90,2,1,1,1,0,0,0,,0,1,1,0,1,3,3,0
11,Davinson Sánchez,6.0,co COL,CB,24-246,90,3,2,3,0,0,1,2,50.0,1,4,4,0,0,3,2,1
12,Japhet Tanganga,25.0,eng ENG,RB,21-319,90,2,1,2,0,0,0,0,,0,0,0,0,1,3,1,0
13,Hugo Lloris,1.0,fr FRA,GK,34-049,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,23,9,14,7,2,11,28,39.3,17,10,5,5,8,31,14,1
