,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Harry Kane,10.0,eng ENG,FW,27-262,89,39,37,2,0,0,0,0,2,0,0,0,0,29,0,0
1,Dele Alli,20.0,eng ENG,FW,25-005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Son Heung-min,7.0,kr KOR,FW,28-282,90,30,24,6,0,0,0,3,0,3,1,2,0,18,0,1
3,Tanguy Ndombele,28.0,fr FRA,AM,24-109,63,15,15,0,0,0,0,2,0,0,0,0,0,9,0,0
4,Érik Lamela,11.0,ar ARG,AM,29-043,27,17,16,1,0,0,0,1,1,0,0,0,0,13,0,0
5,Pierre Højbjerg,5.0,dk DEN,CM,25-254,90,55,53,2,2,0,0,0,0,0,0,0,0,44,0,1
6,Moussa Sissoko,17.0,fr FRA,CM,31-243,90,48,46,2,1,0,0,0,1,0,0,0,0,41,0,0
7,Sergio Reguilón,3.0,es ESP,WB,24-121,63,27,21,6,1,0,0,2,5,0,0,0,0,17,0,1
8,Lucas Moura,27.0,br BRA,WB,28-246,27,10,9,1,0,1,0,1,1,0,0,0,0,7,0,0
9,Serge Aurier,24.0,ci CIV,WB,28-113,90,34,31,3,0,0,1,0,3,0,0,0,0,24,0,2
10,Eric Dier,15.0,eng ENG,CB,27-091,90,72,68,4,1,0,0,1,3,0,0,0,0,56,0,1
11,Joe Rodon,14.0,wls WAL,CB,23-176,90,41,41,0,0,0,0,0,0,0,0,0,0,34,0,1
12,Toby Alderweireld,4.0,be BEL,CB,32-045,90,65,54,11,2,0,1,0,9,0,0,0,0,51,0,1
13,Hugo Lloris,1.0,fr FRA,GK,34-111,90,37,23,14,3,0,0,0,0,0,0,0,0,25,0,0
14,14 Players,,,,,990,490,438,52,10,1,2,10,25,3,1,2,0,368,0,8
