,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Callum Robinson,7.0,ie IRL,FW,25-224,59,0,0,0,2,0,2,1,0,0,0,0,0,0,1,1,50.0
1,Hal Robson-Kanu,4.0,wls WAL,FW,31-115,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3
2,Grady Diangana,11.0,cd COD,LM,22-147,90,0,0,0,0,2,1,0,2,0,0,0,0,5,1,2,33.3
3,Romaine Sawyers,19.0,kn SKN,CM,28-316,67,0,0,0,1,2,0,0,1,0,0,0,0,5,1,0,100.0
4,Kyle Edwards,21.0,eng ENG,"RM,CM",22-209,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
5,Jake Livermore,8.0,eng ENG,CM,30-304,90,0,0,0,3,0,0,0,1,2,0,0,0,7,0,0,
6,Matheus Pereira,12.0,pt POR,"RM,FW",24-131,90,0,0,0,1,2,0,4,1,1,0,0,0,7,2,0,100.0
7,Kieran Gibbs,3.0,eng ENG,LB,30-353,90,0,0,0,0,1,0,1,1,0,0,0,0,5,0,2,0.0
8,Dara O'Shea,27.0,ie IRL,"CB,RB",21-193,90,0,0,0,1,0,0,0,1,1,0,1,0,5,1,2,33.3
9,Kyle Bartley,5.0,eng ENG,CB,29-114,90,0,0,0,1,0,0,0,2,0,0,1,0,10,3,0,100.0
10,Semi Ajayi,6.0,ng NGA,CB,26-309,90,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,
11,Darnell Furlong,2.0,eng ENG,RB,24-318,68,0,0,0,0,1,1,3,0,0,0,0,0,2,6,0,100.0
12,Rekeem Harper,16.0,eng ENG,"CM,RB",20-189,22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
13,Sam Johnstone,1.0,eng ENG,GK,27-172,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,1,0,0,12,9,4,9,10,5,0,2,0,54,16,9,64.0
